,gene_id,length
2668,LOC110054191,13755
2701,LOC110054191,13741
2735,LOC110054341,5270
2751,LOC110056134,3194
2759,LOC110055457,8412
2777,LOC110054454,23312
2827,LOC110055360,4200
2833,LOC110054560,14684
2848,LOC110054560,10643
2866,LOC110054826,49798
2910,LOC110054724,6355
2920,LOC110056237,4402
2927,LOC110056332,8738
2940,LOC110056523,8019
2946,LOC110055259,1207
2953,LOC110056966,10346
2970,LOC110057257,5030
2980,LOC110057257,5024
2990,LOC110057552,22369
3012,LOC110058168,2910
3018,LOC110057061,1670
3024,LOC110057155,1670
3030,LOC110057654,10754
3040,LOC110057762,5661
3050,LOC110057957,4083
3060,LOC110057858,11828
3088,LOC110058062,5810
3100,LOC110057454,15589
3114,LOC110058254,812
3118,LOC110058343,1683
3136,LOC110058444,4095
3148,LOC110058549,773
3157,LOC110058751,773
3175,LOC110059314,44968
3207,LOC110059210,1443
3213,LOC110059700,23199
3226,LOC110059700,16334
3239,LOC110059480,22867
3262,LOC110059480,22659
3283,LOC110059480,22652
3305,LOC110059962,3738
3313,LOC110059855,36249
3345,LOC110060050,29112
3397,LOC110060149,46200
3434,LOC110060149,46193
3470,LOC110060677,2378
3474,LOC110060872,13576
3490,LOC110060771,3305
3494,LOC110061073,8070
3506,LOC110060575,12677
3530,LOC110060318,16601
3565,LOC110060318,16601
3601,LOC110060972,4133
3607,LOC110060478,15099
3643,LOC110061166,17618
3681,LOC110061268,19115
3699,LOC110061368,32359
3728,LOC110061368,32359
3756,LOC110061546,4397
3773,LOC110061642,27374
3786,LOC110061642,27374
3800,LOC110062351,31929
3832,LOC110062252,3948
3836,LOC110062061,5228
3852,LOC110063014,731
3856,LOC110061863,15952
3892,LOC110061958,3107
3896,LOC110062156,4168
3927,LOC110062586,20041
3961,LOC110062706,3885
3972,LOC110062434,18417
4008,LOC110062434,13259
4043,LOC110063122,6661
4067,LOC110058853,9815
4072,LOC110058853,9815
4078,LOC110062815,3192
4082,LOC110063216,458
4086,LOC110059022,5604
4091,LOC110063311,977
4095,LOC110059117,3129
4100,LOC110063502,14196
4114,LOC110063697,1895
4132,LOC110063804,4680
4141,LOC110063906,1720
4150,LOC110064110,1456
4154,LOC110064212,1041
4160,LOC110064302,4875
4169,LOC110068696,3374
4182,LOC110068696,3372
4195,LOC110040048,3077
4201,LOC110064592,3579
4209,LOC110064681,1828
4215,LOC110040551,3890
4223,LOC110069640,10673
4231,LOC110040144,3646
4237,LOC110040575,7760
4253,LOC110040585,6465
4262,LOC110040585,5936
4272,LOC110041551,5099
4283,LOC110041551,5099
4295,LOC110041565,8990
4305,LOC110041565,8990
4317,LOC110041565,8990
4330,LOC110041565,6227
4342,LOC110040609,1947
4348,LOC110040599,10022
4374,LOC110064989,6771
4390,LOC110040617,7694
4407,LOC110040625,13635
4418,LOC110040625,13635
4428,LOC110040625,9898
4439,LOC110040625,9898
4452,LOC110040625,9898
4462,LOC110040625,9898
4474,LOC110040666,13138
4498,LOC110041734,4317
4505,LOC110041867,6287
4526,LOC110040677,8503
4542,LOC110068598,7760
4562,LOC110065092,6130
4568,LOC110065185,4100
4574,LOC110068398,2039
4582,LOC110040688,22969
4594,LOC110040730,18228
4624,LOC110040730,18228
4655,LOC110040708,15125
4688,LOC110040719,3798
4692,LOC110040775,4443
4698,LOC110040754,11702
4714,LOC110040764,7253
4725,LOC110040745,7769
4730,LOC110041904,8601
4746,LOC110064399,6704
4750,LOC110065282,18677
4772,LOC110040795,3871
4782,LOC110040784,8281
4791,LOC110040806,8828
4805,LOC110040815,16077
4820,LOC110040827,15382
4840,LOC110040860,9980
4846,LOC110040860,9980
4852,LOC110040849,10067
4886,LOC110040838,22525
4905,LOC110065374,32418
4936,LOC110039674,7173
4952,LOC110041782,2410
4956,LOC110041743,2154
4960,LOC110041856,2152
4964,LOC110041828,2045
4970,LOC110069737,5401
4974,LOC110069438,4932
4979,LOC110065466,2076
4985,LOC110040925,5446
4990,LOC110065563,3078
4994,LOC110040895,6281
4999,LOC110040948,2094
5005,LOC110040908,12201
5011,LOC110040908,12200
5019,LOC110040937,11223
5047,LOC110040877,19574
5084,LOC110040877,19573
5122,LOC110065659,17210
5146,LOC110069339,4448
5156,LOC110041811,7526
5168,LOC110040956,34131
5217,LOC110040956,31545
5261,LOC110040972,3337
5267,LOC110068504,2247
5273,LOC110039868,2978
5279,LOC110065759,16567
5305,LOC110069190,4238
5315,LOC110065859,1738
5323,LOC110069100,2165
5332,LOC110040979,13952
5366,LOC110040979,13951
5401,LOC110065952,2072
5409,LOC110041793,7923
5431,LOC110041056,3257
5440,LOC110066044,2717
5450,LOC110040996,14770
5486,LOC110041014,8035
5508,LOC110066145,8849
5530,LOC110066239,2526
5540,LOC110066334,3185
5548,LOC110066433,4718
5554,LOC110041023,9708
5571,LOC110041023,7686
5590,LOC110041004,9251
5621,LOC110041065,9017
5643,LOC110041072,14454
5674,LOC110041072,10548
5705,LOC110041072,10536
5735,LOC110041093,13195
5747,LOC110066534,7016
5759,LOC110069540,996
5763,LOC110066634,10099
5771,LOC110041695,45933
5787,LOC110041714,1099
5797,LOC110041705,5935
5809,LOC110041667,14048
5843,LOC110066729,42654
5885,LOC110041103,1421
5889,LOC110041114,2512
5893,LOC110039771,2870
5903,LOC110066824,36168
6007,LOC110041124,10431
6029,LOC110066921,6010
6047,LOC110041143,4655
6065,LOC110041133,5564
6084,LOC110041153,38018
6158,LOC110041162,25711
6210,LOC110041196,17810
6220,LOC110041196,14842
6231,LOC110041196,14841
6241,LOC110041196,14841
6252,LOC110041196,14015
6263,LOC110041231,15790
6289,LOC110041171,41926
6364,LOC110041171,41926
6435,LOC110041171,30767
6499,LOC110041649,4590
6507,LOC110041649,3080
6519,LOC110068954,3655
6528,LOC110068954,3637
6540,LOC110041525,16620
6577,LOC110041535,1385
6581,LOC110040336,2216
6585,LOC110067108,15793
6617,LOC110041499,1994
6621,LOC110041508,12626
6630,LOC110041508,11041
6646,LOC110041753,7986
6657,LOC110041753,7050
6670,LOC110041753,7050
6681,LOC110041753,7050
6691,LOC110041753,7050
6707,LOC110064882,1548
6711,LOC110067206,2040
6719,LOC110067395,1968
6723,LOC110041724,12126
6735,LOC110041540,8872
6752,LOC110041612,12827
6758,LOC110041638,758
6762,LOC110041620,3127
6766,LOC110041620,2407
6772,LOC110041602,8901
6783,LOC110041242,1102
6787,LOC110067300,5844
6799,LOC110067499,18637
6815,LOC110067597,3804
6823,LOC110067691,23020
6834,LOC110041251,2974
6843,LOC110041267,10981
