"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY"
"LOC110039914",839.973277465816,3.68038584033829,0.825681159024962,4.45739351093395,8.29622263537985e-06,0.0174090306130135,"CvsT2",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370
"LOC110065550",43.2427782295006,4.71136262721844,1.03424399165961,4.55536862211623,5.22937914729176e-06,0.0153628700589137,"CvsT2",22,2,14,6,3,7,7,9,23,19,6,7,9,11,7
"LOC110044078",432.158160229469,-3.08939721962386,0.675288793395076,-4.57492742340892,4.76385099557944e-06,0.0153628700589137,"CvsT2",128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238
"LOC110063000",74.5510560810232,4.12616858998608,0.915503255926291,4.50699499240042,6.57521847130805e-06,0.0160972306875073,"CvsT2",50,8,22,22,12,15,20,17,64,60,19,15,15,29,21
"LOC110042871",243.530897512616,3.44227633854886,0.739296753716314,4.65614967365289,3.22177755922227e-06,0.0153628700589137,"CvsT2",553,56,55,83,36,85,143,74,590,360,109,97,56,215,78
"LOC110062641",143.784374905282,4.05251554727739,0.869882903887752,4.65869087570932,3.18226651691371e-06,0.0153628700589137,"CvsT2",81,19,38,64,21,28,61,46,184,250,33,35,65,49,87
"LOC110063009",144.45368684569,4.13511597817525,0.883081313224574,4.68259934419386,2.83259830069607e-06,0.0153628700589137,"CvsT2",105,15,42,46,25,32,42,34,125,126,39,29,31,61,43
