"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY"
"LOC110058904",32.9320489660586,-6.78408523716203,1.23211269265082,-5.50605904608164,3.66955496048216e-08,0.000360790643714606,"CvsT2",2,10,66,39,34,28,39,0,12,27,20,30,47,41
"LOC110047898",42.5147172629862,-9.13858916987499,1.49732809259386,-6.10326435139808,1.03923745353658e-09,2.04355652863432e-05,"CvsT2",0,22,44,22,22,46,32,0,88,40,51,59,70,55
