"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY"
"LOC110039914",839.973277465816,3.54364420908728,0.824896699182102,4.29586421257457,1.74014079398499e-05,0.0306585596072295,"CvsT4",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370
"LOC110065550",43.2427782295006,4.43915622514828,1.0048855855991,4.41757379025564,9.98149991454867e-06,0.0306585596072295,"CvsT4",22,2,14,6,3,7,7,9,23,19,6,7,9,11,7
"LOC110044078",432.158160229469,-3.08909881637764,0.674871742431295,-4.57731243161678,4.7098776835989e-06,0.0306312781284598,"CvsT4",128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238
"LOC110055167",98.4289286302455,3.65108960057682,0.855075659137241,4.26990238999519,1.95558533407934e-05,0.0308650033277742,"CvsT4",100,13,26,43,23,43,34,51,74,57,21,33,28,68,47
"LOC110063000",74.5510560810232,3.87795113543101,0.902934247166655,4.29483226226024,1.74825468203171e-05,0.0306585596072295,"CvsT4",50,8,22,22,12,15,20,17,64,60,19,15,15,29,21
"LOC110050314",129.227854192404,5.9261677356751,1.36894884425965,4.32899137212104,1.49793801326071e-05,0.0306585596072295,"CvsT4",13,2,45,12,6,12,7,11,55,40,11,14,9,7,15
"LOC110047759",133.750536685242,5.76458249562771,1.26927269032492,4.54164226455706,5.58176994389715e-06,0.0306312781284598,"CvsT4",60,3,42,120,18,26,10,34,45,34,12,26,10,40,22
"LOC110068978",100.910672679236,3.6809496738101,0.854297310503659,4.30874547836275,1.64183178563075e-05,0.0306585596072295,"CvsT4",107,21,26,53,35,34,37,53,86,52,25,25,26,64,49
"LOC110063009",144.45368684569,3.86291213687824,0.876629873510201,4.40654859434618,1.05030753627102e-05,0.0306585596072295,"CvsT4",105,15,42,46,25,32,42,34,125,126,39,29,31,61,43
"LOC110044634",114.752915099172,5.66184341639518,1.24909936905946,4.53274059425584,5.82232999970725e-06,0.0306312781284598,"CvsT4",44,6,38,19,19,19,12,16,42,31,6,16,8,30,22
