"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"Pocillopora_acuta_HIv1_PredGene_g32171.t1",28,59,0,13,9,28,34,35,27,34,29,33
"Pocillopora_acuta_HIv1_PredGene_g32172.t1",32,55,28,16,13,44,30,62,58,63,50,34
"Pocillopora_acuta_HIv1_PredGene_g32194.t1",508,82,1704,1188,382,466,325,193,1794,1674,889,343
"Pocillopora_acuta_HIv1_PredGene_g18846.t1",246,146,1228,575,203,157,163,141,1234,995,650,239
"Pocillopora_acuta_HIv1_PredGene_g18847.t1",85,40,294,196,59,66,53,60,277,306,128,70
"Pocillopora_acuta_HIv1_PredGene_g30103.t1",19,35,8,55,17,36,93,41,15,24,50,23
"Pocillopora_acuta_HIv1_PredGene_g1931.t1",12,14,0,6,8,13,12,13,10,14,19,10
"Pocillopora_acuta_HIv1_PredGene_g1988.t1",33,22,30,17,35,20,26,43,29,31,32,30
"Pocillopora_acuta_HIv1_PredGene_g6916.t1",236,128,177,127,198,236,172,293,258,283,240,99
"Pocillopora_acuta_HIv1_PredGene_g6941.t1",35,51,43,27,26,31,55,38,38,28,36,45
"Pocillopora_acuta_HIv1_PredGene_g27851.t1",31,45,8,56,16,27,62,39,22,28,34,26
"Pocillopora_acuta_HIv1_PredGene_g27868.t1",56,29,222,209,37,46,49,75,175,206,88,54
"Pocillopora_acuta_HIv1_PredGene_g7769.t1",20,19,6,25,13,43,53,26,33,23,38,56
"Pocillopora_acuta_HIv1_PredGene_g7788.t1",311,102,879,738,181,252,221,297,731,836,404,260
"Pocillopora_acuta_HIv1_PredGene_g9384.t1",110,74,142,131,108,114,104,160,157,210,169,104
"Pocillopora_acuta_HIv1_PredGene_g3941.t1",378,308,44,43,374,477,362,328,45,56,538,267
"Pocillopora_acuta_HIv1_PredGene_g1152.t1",305,85,949,1387,185,276,194,163,948,1057,487,268
"Pocillopora_acuta_HIv1_PredGene_g9758.t1",23,0,81,124,14,18,17,15,93,135,26,20
"Pocillopora_acuta_HIv1_PredGene_g30872.t1",137,67,329,394,110,116,72,108,362,467,191,116
"Pocillopora_acuta_HIv1_PredGene_g12340.t1",15,34,17,9,20,15,22,19,21,15,22,13
"Pocillopora_acuta_HIv1_PredGene_g11568.t1",205,63,65,110,75,153,182,213,126,199,164,63
"Pocillopora_acuta_HIv1_PredGene_g11568.t2",205,63,65,110,75,153,182,213,126,199,164,63
"Pocillopora_acuta_HIv1_PredGene_g11569.t1",383,160,185,329,151,299,342,455,419,429,331,181
"Pocillopora_acuta_HIv1_PredGene_g10201.t1",136,32,276,284,66,122,71,78,287,491,177,67
"Pocillopora_acuta_HIv1_PredGene_g10202.t1",20,8,29,28,8,28,42,46,20,22,25,12
"Pocillopora_acuta_HIv1_PredGene_g3078.t1",67,11,995,255,97,107,55,67,522,370,189,85
"Pocillopora_acuta_HIv1_PredGene_g3121.t1",5655,1420,1765,3451,6771,7183,4690,4045,210,266,7648,6854
"Pocillopora_acuta_HIv1_PredGene_g5395.t1",84,94,136,213,27,98,183,171,153,126,49,27
"Pocillopora_acuta_HIv1_PredGene_g9785.t1",178,64,98,135,155,386,196,145,189,196,264,78
"Pocillopora_acuta_HIv1_PredGene_g21773.t1",276,195,543,467,169,381,524,553,527,630,228,131
"Pocillopora_acuta_HIv1_PredGene_g21773.t2",276,195,543,467,169,381,524,553,527,630,228,131
"Pocillopora_acuta_HIv1_PredGene_g21776.t1",97,97,168,91,70,136,192,238,214,186,79,27
"Pocillopora_acuta_HIv1_PredGene_g21777.t2",18,39,86,38,10,77,160,97,71,55,41,6
"Pocillopora_acuta_HIv1_PredGene_g21777.t1",18,39,86,38,10,77,160,97,71,55,41,6
"Pocillopora_acuta_HIv1_PredGene_g1342.t1",64,24,240,264,52,94,51,49,227,229,96,47
"Pocillopora_acuta_HIv1_PredGene_g4057.t1",102,43,461,914,93,134,160,79,405,567,282,170
"Pocillopora_acuta_HIv1_PredGene_g1392.t1",26,10,21,26,21,28,35,24,26,38,35,23
"Pocillopora_acuta_HIv1_PredGene_g14792.t1",1222,2413,1847,1785,1098,1891,1565,1661,2328,2395,2386,966
"Pocillopora_acuta_HIv1_PredGene_g31888.t1",33,12,146,206,16,43,45,32,174,186,30,29
"Pocillopora_acuta_HIv1_PredGene_g2628.t1",13,16,765,506,10,17,53,13,80,108,13,19
"Pocillopora_acuta_HIv1_PredGene_g2628.t2",13,16,765,506,10,17,53,13,80,108,13,19
"Pocillopora_acuta_HIv1_PredGene_g2699.t1",12112,2088,29641,21625,4306,10955,1157,4437,47509,54062,15699,5239
"Pocillopora_acuta_HIv1_PredGene_g14435.t1",195,63,872,544,152,130,197,219,945,694,206,136
"Pocillopora_acuta_HIv1_PredGene_g874.t1",40,27,44,49,32,34,42,51,30,36,49,54
"Pocillopora_acuta_HIv1_PredGene_g28596.t1",67,75,0,29,53,67,42,67,44,53,90,56
"Pocillopora_acuta_HIv1_PredGene_g33391.t1",189,101,170,129,111,169,191,309,257,228,265,133
"Pocillopora_acuta_HIv1_PredGene_g16052.t1",67,29,252,254,47,55,62,74,177,238,111,76
"Pocillopora_acuta_HIv1_PredGene_g4938.t1",431,80,18,202,160,638,248,477,272,340,633,297
"Pocillopora_acuta_HIv1_PredGene_g4955.t1",44,28,150,160,33,42,33,36,151,156,53,26
"Pocillopora_acuta_HIv1_PredGene_g31480.t1",85,16,210,234,57,84,61,86,253,297,128,72
"Pocillopora_acuta_HIv1_PredGene_g31487.t2",16752,4444,74679,54451,21943,22942,13241,11642,57079,64412,22922,20807
"Pocillopora_acuta_HIv1_PredGene_g31487.t1",16752,4444,74679,54451,21943,22942,13241,11642,57079,64412,22922,20807
"Pocillopora_acuta_HIv1_PredGene_g953.t1",99,79,97,109,85,99,81,118,130,153,123,70
"Pocillopora_acuta_HIv1_PredGene_1632_t",99,79,97,109,85,99,81,118,130,153,123,70
"Pocillopora_acuta_HIv1_PredGene_g3306.t1",133,41,723,946,80,138,87,78,443,715,249,226
"Pocillopora_acuta_HIv1_PredGene_17795_t",135,32,365,644,88,149,104,93,397,442,199,111
"Pocillopora_acuta_HIv1_PredGene_g30925.t1",17,3,10,8,9,13,8,24,15,15,16,20
"Pocillopora_acuta_HIv1_PredGene_g29421.t1",110,43,47,83,31,65,121,174,57,139,114,108
"Pocillopora_acuta_HIv1_PredGene_g29458.t1",85,51,293,366,38,49,63,99,304,269,101,57
"Pocillopora_acuta_HIv1_PredGene_g25285.t1",34,9,72,110,21,33,27,30,142,171,32,14
"Pocillopora_acuta_HIv1_PredGene_g26522.t1",25,11,29,17,22,44,31,36,32,22,31,32
"Pocillopora_acuta_HIv1_PredGene_g22418.t1",52,31,23,30,15,41,59,49,35,63,23,18
