"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"STRG.1019",347.334034488759,-4.32143685123503,0.297859500980655,-14.5083062215823,1.07338405709736e-47,2.05606716136999e-43,"CvsMid",378,308,44,43,374,477,362,328,45,56,538,267
"STRG.19486",29.5324828006801,-1.74287132947901,0.466302354022268,-3.73764214236795,0.000185754078049371,0.046209342403061,"CvsMid",18,4,22,16,26,26,16,22,41,40,39,70
"STRG.19151",96.4403739643608,1.23551172203308,0.320134799711404,3.85934838432707,0.0001136897657695,0.0311103923330681,"CvsMid",46,14,296,352,32,70,59,38,239,296,75,62
"STRG.4999",36.7216559414538,1.40852977484715,0.330260292639964,4.26490803235213,1.99984559303232e-05,0.0085542447192867,"CvsMid",17,8,107,73,5,26,23,29,125,154,29,22
"STRG.2434",76.4644155853073,2.57638909443988,0.428661327749095,6.01031380173369,1.85164565380926e-09,2.5334480356226e-06,"CvsMid",20,22,123,492,13,29,49,29,236,298,27,22
"STRG.20212",18.3190711690423,-1.65684368279086,0.397610205917601,-4.16700491620232,3.0862784441003e-05,0.0113687814609118,"CvsMid",18,16,11,8,16,24,20,24,14,15,22,7
"STRG.2674",1265.36846696276,0.990854974840857,0.251274306775214,3.94331990229013,8.03613451205632e-05,0.0248277671900708,"CvsMid",895,482,3082,3794,409,1343,1072,990,2515,2886,962,473
"STRG.8846",128.355337677587,-1.30164287917418,0.305301885235025,-4.2634616493513,2.01284060240722e-05,0.0085542447192867,"CvsMid",132,50,144,89,112,217,110,125,120,139,206,69
"STRG.8923",20.1951960696252,-2.21299712289706,0.494934162901918,-4.47129595969234,7.77470155996769e-06,0.00391906337845213,"CvsMid",27,16,0,15,15,21,16,33,12,16,21,18
"STRG.10158",107.643981938343,-0.911277182699904,0.203184789791282,-4.48496751964553,7.29250423919963e-06,0.00377534915410457,"CvsMid",101,39,124,124,78,92,120,136,121,154,143,91
"STRG.13289",57.333317167521,-1.39818128584079,0.377022962393508,-3.70847779924204,0.000208508937579393,0.0499248587416659,"CvsMid",50,27,32,38,68,75,32,61,79,82,99,29
"STRG.10303",32.0943581073805,-1.59781624048554,0.35397373986376,-4.51394004849207,6.36342120879218e-06,0.00338587036817817,"CvsMid",33,22,30,17,35,20,26,43,29,31,32,30
"STRG.4530",151.920332785434,3.17394566261632,0.63375489534358,5.00815959913906,5.49529593740018e-07,0.00037593712028893,"CvsMid",17,43,897,868,19,32,125,22,227,326,23,49
"STRG.17632",265.465998749696,-1.37937392584243,0.35442705709083,-3.89184148965503,9.94862367463821e-05,0.0288736191648023,"CvsMid",205,245,307,192,191,303,185,272,201,175,381,211
"STRG.3239",33.1958801725993,-1.83085915684424,0.308625487847786,-5.93230056795317,2.98719125990704e-09,3.81464323890129e-06,"CvsMid",41,12,20,17,22,47,51,37,22,32,43,29
"STRG.20698",52.4984026640496,-1.24707719412818,0.298494054850199,-4.17789625576977,2.9421779104041e-05,0.0110504740929001,"CvsMid",71,12,50,39,50,59,38,76,62,80,68,36
"STRG.6173",37.0846927235964,-1.41704957272398,0.285314093361255,-4.96663013042878,6.81263445414615e-07,0.000449986251617826,"CvsMid",43,17,27,39,27,49,46,44,31,28,42,29
"STRG.17922",28.1498961624709,-2.40475928102945,0.461498314785961,-5.21076503203432,1.88063511611548e-07,0.000156624198474748,"CvsMid",51,9,5,6,29,37,26,31,20,36,43,18
"STRG.8926",205.026357508815,-1.37278707860957,0.253027876094398,-5.42543809717403,5.78125638549107e-08,6.51411565082832e-05,"CvsMid",244,54,222,151,151,165,181,288,234,241,261,250
"STRG.15430",37.0988768765341,1.93044201386321,0.363680979638924,5.30806427044885,1.10795577680491e-07,0.00010534095088999,"CvsMid",20,9,108,91,4,19,37,25,114,186,22,10
"STRG.12787",188.317205926663,-1.07257390878026,0.230329432334101,-4.65669496907564,3.21325976449063e-06,0.00186515123602479,"CvsMid",189,101,170,129,111,169,191,309,257,228,265,133
"STRG.22710",61.2458949662707,-1.81954567800242,0.383317066208711,-4.74684233603025,2.0661688200757e-06,0.00127669237898548,"CvsMid",65,18,16,33,63,97,53,77,77,63,93,46
"Pocillopora_acuta_HIv1_PredGene_g27181.t1",125.892789026507,-3.9729390560345,1.06634634941576,-3.72574919791419,0.000194735957328949,0.047217307121975,"CvsMid",216,41,7,0,147,142,146,246,6,94,54,149
"STRG.5470",21.4773203377577,1.4830226335846,0.391893753516447,3.78424667471093,0.000154174852965037,0.0399083690343958,"CvsMid",13,2,40,84,7,16,10,20,73,80,15,7
"STRG.18318",13.5199053510586,-1.66165494050181,0.438285448428127,-3.79126194232819,0.000149883771432415,0.0393290909833962,"CvsMid",17,3,10,8,9,13,8,24,15,15,16,20
"STRG.8743",263.507608001079,2.4574082375423,0.276783667077736,8.8784438167449,6.78022290395909e-19,4.32917232417788e-15,"CvsMid",87,34,715,1231,51,167,116,94,1081,1083,108,72
"STRG.9233",34.4833600804869,1.30087758648625,0.326735243061756,3.98144251074981,6.84982896692812e-05,0.0222387243833065,"CvsMid",19,8,96,124,16,30,22,22,90,89,22,12
"STRG.22042",45.7096223495131,3.52190192320541,0.474458898315312,7.422986344467,1.14508586836449e-13,3.65568663475362e-10,"CvsMid",8,8,292,219,8,8,14,7,116,172,9,5
"STRG.15527",91.1231705489171,-1.34181798006682,0.292354619831173,-4.58969309546632,4.43898192663845e-06,0.00250084408249293,"CvsMid",101,42,74,106,46,106,112,114,59,86,162,61
"STRG.12414",26.3746910413115,-1.19148211419159,0.30539133817348,-3.901492823332,9.56012964244326e-05,0.0281729666616924,"CvsMid",26,10,21,26,21,28,35,24,26,38,35,23
"STRG.10850",131.384345391839,-0.899207781559159,0.212910981619699,-4.22339784786357,2.40646469106638e-05,0.00960329815778678,"CvsMid",110,74,142,131,108,114,104,160,157,210,169,104
"STRG.25331",65.5419697740856,2.13681274955702,0.431506257863684,4.95198554045549,7.34600639630992e-07,0.000469042508404388,"CvsMid",22,11,292,286,19,28,30,28,68,324,32,21
"STRG.4616",85.5349380896129,-2.74820445130004,0.66586140469208,-4.1272920039132,3.67060177739659e-05,0.0130204401937096,"CvsMid",106,99,42,16,36,109,73,125,0,51,64,96
"STRG.8657",155.132908065969,1.59971260950115,0.415523573174092,3.84987209577858,0.00011817952224231,0.0318835035007248,"CvsMid",73,42,398,862,51,100,106,114,346,232,118,37
"STRG.16807",47.594522305552,1.13521892655143,0.292487318346186,3.88125862334923,0.000103917259309117,0.0293649200133566,"CvsMid",29,19,136,99,27,37,28,33,133,160,33,11
"STRG.4184",42.5982251887656,-1.58168914889335,0.293708143934406,-5.3852410345373,7.23476302508794e-08,7.69899365253108e-05,"CvsMid",58,18,24,26,22,48,40,70,38,54,56,41
"STRG.12332",5074.02648365679,-3.40964882717213,0.808951422652943,-4.2148993520405,2.49889605929136e-05,0.00976393023049969,"CvsMid",5655,1420,1765,3451,6771,7183,4690,4045,210,266,7648,6854
"STRG.14419",136.255833928732,-1.26335000747716,0.317779926606664,-3.97555006374235,7.02167700269858e-05,0.0224167038311152,"CvsMid",205,63,65,110,75,153,182,213,126,199,164,63
"STRG.3064",84.6150683388529,2.44863827016547,0.567482694732623,4.31491267115939,1.59666008655031e-05,0.00728191046615979,"CvsMid",18,56,220,444,15,19,85,20,216,219,24,28
"STRG.10512",210.425307738509,-1.17505157820686,0.286168816088638,-4.10614823189853,4.023113640996e-05,0.013778836099757,"CvsMid",236,128,177,127,198,236,172,293,258,283,240,99
"STRG.17257",68.4096116070182,-2.19797622288963,0.301540518486974,-7.28915713854416,3.11900100051227e-13,6.22983474702369e-10,"CvsMid",80,25,22,35,42,124,116,105,34,38,91,40
"STRG.2476",38.5653593734438,-1.99823531727709,0.381887510128398,-5.23252335905211,1.67211514302684e-07,0.000145588025293996,"CvsMid",28,10,26,30,63,23,21,16,46,34,56,64
"STRG.22888",187.355327325654,-2.43459226525345,0.578226609898083,-4.21044660272997,2.54866359449222e-05,0.00976393023049969,"CvsMid",323,45,42,233,156,166,194,406,44,37,275,131
"STRG.16091",28.3740500870121,-1.34638601564143,0.342078155556964,-3.93590176329522,8.28848750301259e-05,0.0252009489079692,"CvsMid",34,10,20,13,17,38,23,37,36,45,40,28
"STRG.11724",42.10255423658,-1.63647315842131,0.413018869581967,-3.96222371166152,7.42549131116147e-05,0.0233172600107046,"CvsMid",77,18,58,17,51,19,32,44,46,38,53,25
"STRG.4322",195.885144034039,-2.92974330124387,0.367585655682772,-7.97023294013479,1.58375559975232e-15,7.5842096283139e-12,"CvsMid",294,95,35,94,109,310,152,280,61,96,454,125
"STRG.16947",60.2155084695825,-1.93773577245605,0.471944833028939,-4.10585228790338,4.028268449942e-05,0.013778836099757,"CvsMid",64,58,8,32,60,67,36,69,66,51,78,37
