,19_T33_Ac_WK,25_ctl1_Ac_GF_1,27_ctl2_Ac_YG_1,31_T22_Ac_UV,35_T43_Ac_MT,37_T13_Ac_ML,38_T23_Ac_IN,41_ctl3_Ac_RN_1,47_T31_Ac_JB,52_T11_Ac_II,53_T21_Ac_NH,54_T42_Ac_JQ,57_T32_Ac_NM
Acerv_evm.TU.Segkk4074_pilon.1,56,21,25,41,76,19,43,23,21,16,26,41,8
Acerv_evm.TU.Segkk3463_pilon.1,235,525,305,212,363,132,268,316,119,64,152,304,78
Acerv_evm.TU.Segkk3422_pilon.23,799,15,8,471,680,524,537,22,402,449,304,1079,353
Acerv_evm.TU.Segkk580_pilon.3,133,334,196,88,112,121,49,235,66,228,35,138,101
Acerv_evm.TU.Segkk1982_pilon.11,15,5,10,15,22,15,13,9,9,14,6,11,10
Acerv_evm.TU.Segkk1895_pilon.6,106,116,145,64,136,116,91,128,94,113,44,123,91
Acerv_evm.TU.Segkk2518_pilon.2,46,59,78,114,151,78,48,54,18,98,97,163,46
Acerv_evm.TU.Segkk2585_pilon.5,52,61,96,65,97,30,59,38,24,16,40,65,23
Acerv_evm.TU.Segkk1613_pilon.8,167,271,137,159,272,110,136,129,116,73,98,240,73
Acerv_evm.TU.Segkk1779_pilon.5,59,14,16,30,52,30,48,33,30,15,31,58,10
Acerv_evm.TU.Segkk2954_pilon.6,615,1560,965,225,497,322,105,1189,210,232,147,512,278
Acerv_evm.TU.Segkk1822_pilon.2,386,406,368,522,938,404,1163,250,96,224,739,1588,352
Acerv_evm.TU.Segkk978_pilon.3,55,71,114,48,170,45,34,128,28,30,34,183,25
Acerv_evm.TU.Segkk3159_pilon.11,1161,2575,921,673,675,1069,231,1144,274,1765,174,918,540
Acerv_evm.TU.Segkk1732_pilon.65,33,151,104,19,38,25,27,100,16,33,13,47,12
Acerv_evm.TU.Segkk1732_pilon.61,39,108,75,16,35,30,18,94,24,18,9,29,9
Acerv_evm.TU.Segkk3095_pilon.35,172,302,382,244,388,92,183,344,99,45,134,167,45
Acerv_evm.TU.Segkk2970_pilon.1,72,21,39,38,111,38,130,44,42,27,41,53,21
Acerv_evm.TU.Segkk1268_pilon.2,25,7,6,27,35,30,43,10,35,50,14,39,28
Acerv_evm.TU.Segkk657_pilon.10,170,353,330,96,183,161,74,264,149,225,58,147,105
Acerv_evm.TU.Segkk2834_pilon.11,163,179,165,100,211,91,67,116,72,104,70,226,60
Acerv_evm.TU.Segkk4025_pilon.2,342,641,618,275,439,168,267,472,153,100,185,378,103
Acerv_evm.TU.Segkk3091_pilon.8,3386,5867,7599,3683,5847,2287,11822,4923,2069,858,2456,4235,892
Acerv_evm.TU.Segkk2782_pilon.21,652,813,862,522,932,365,889,465,200,233,508,1025,190
Acerv_evm.TU.Segkk2793_pilon.4,2973,5686,6190,1794,2218,2894,1408,4194,873,4619,1024,3000,1925
Acerv_evm.TU.Segkk4318_pilon.2,38,26,39,35,60,23,47,54,20,15,31,39,13
Acerv_evm.TU.Segkk1038_pilon.1,130,106,73,83,125,77,81,117,64,61,55,202,64
Acerv_evm.TU.Segkk3363_pilon.30,94,93,151,87,130,60,136,99,76,37,54,91,36
Acerv_evm.TU.Segkk3339_pilon.1,23,30,13,32,47,27,16,8,11,19,19,48,7
Acerv_evm.TU.Segkk3047_pilon.14,57,304,211,51,76,36,53,245,31,57,20,109,23
Acerv_evm.TU.Segkk1022_pilon.1,26,8,13,23,48,12,17,7,9,14,10,23,6
Acerv_evm.TU.Segkk3750_pilon.2,25,10,12,12,23,13,30,9,13,10,11,20,4
Acerv_evm.TU.Segkk984_pilon.10,124,327,254,73,90,104,81,381,63,129,33,98,51
Acerv_evm.TU.Segkk2779_pilon.12,266,551,589,304,428,164,276,490,186,82,189,315,93
Acerv_evm.TU.Segkk3903_pilon.2,2554,3990,6951,2964,3310,1557,10419,3243,1586,861,2198,3706,978
Acerv_evm.TU.Segkk68_pilon.68,600,1037,623,906,1166,714,1340,862,158,516,858,2114,480
Acerv_evm.TU.Segkk3454_pilon.21,52,433,437,26,65,32,40,315,32,38,26,39,14
Acerv_evm.TU.Segkk1157_pilon.2,57,917,634,51,112,32,67,544,28,44,33,100,27
Acerv_evm.TU.Segkk3209_pilon.11,95,227,141,37,80,49,26,197,34,59,22,90,41
Acerv_evm.TU.Segkk2237_pilon.14,712,1407,877,263,353,473,181,1428,383,631,101,507,311
Acerv_evm.TU.Segkk3655_pilon.33,1663,338,822,1313,2299,1069,1214,352,627,587,1039,2012,590
Acerv_evm.TU.Segkk1858_pilon.11,616,671,531,557,884,335,462,380,178,183,382,674,133
Acerv_evm.TU.Segkk2008_pilon.3,502,719,589,374,656,342,344,434,202,315,286,594,164
Acerv_evm.TU.Segkk2163_pilon.7,30,26,49,25,45,12,53,21,6,6,33,55,9
Acerv_evm.TU.Segkk398_pilon.1,36,11,5,19,36,14,17,8,7,12,14,32,8
Acerv_evm.TU.Segkk3317_pilon.1,413,1770,1694,294,541,367,409,2222,353,659,206,627,229
Acerv_evm.TU.Segkk3092_pilon.14,379,810,649,432,613,221,331,451,214,148,323,593,121
Acerv_evm.TU.Segkk315_pilon.1,35,5,7,25,50,15,23,19,23,16,18,39,7
Acerv_evm.TU.Segkk2370_pilon.2,38,21,16,30,38,18,24,16,20,27,10,49,13
Acerv_evm.TU.Segkk2199_pilon.3,20,10,11,11,18,12,18,9,11,18,11,18,10
Acerv_evm.TU.Segkk905_pilon.19,202,429,349,184,312,109,176,307,93,80,128,350,73
Acerv_evm.TU.Segkk4302_pilon.20,68,150,143,32,57,0,35,101,24,16,20,62,20
Acerv_evm.TU.Segkk2246_pilon.2,1736,3905,3529,1846,2760,1170,2662,4039,1283,831,1221,2663,749
Acerv_evm.TU.Segkk1424_pilon.6,285,626,341,125,245,202,83,387,106,280,49,285,139
Acerv_evm.TU.Segkk2838_pilon.7,38,97,69,15,40,15,13,161,20,11,10,37,8
Acerv_evm.TU.Segkk2762_pilon.14,220,1267,861,187,407,189,242,629,66,129,107,355,86
