"","gene_id"
"1","Acerv_evm.model.Segkk1079_pilon.5"
"2","Acerv_evm.model.Segkk1303_pilon.10"
"3","Acerv_evm.model.Segkk169_pilon.1"
"4","Acerv_evm.model.Segkk1774_pilon.15"
"5","Acerv_evm.model.Segkk1777_pilon.32"
"6","Acerv_evm.model.Segkk2788_pilon.3"
"7","Acerv_evm.model.Segkk2909_pilon.1"
"8","Acerv_evm.model.Segkk3059_pilon.1"
"9","Acerv_evm.model.Segkk3158_pilon.3"
"10","Acerv_evm.model.Segkk3381_pilon.2"
"11","Acerv_evm.model.Segkk4025_pilon.2"
"12","Acerv_evm.model.Segkk4345_pilon.12"
"13","Acerv_evm.model.Segkk673_pilon.1"
