"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"Acerv_evm.TU.Segkk666_pilon.8",117.272836816087,-0.180382653258378,0.250286307274185,-0.720705240422008,0.471090887512315,0.889505590422052,"CvsT4"
"Acerv_evm.TU.Segkk3416_pilon.20",86.9819716534513,0.254163448677923,0.288421688010994,0.881221694632874,0.378197839231042,0.861470277593569,"CvsT4"
"Acerv_evm.TU.Segkk666_pilon.3",550.716811431255,0.323560547877231,0.166231684684121,1.94644329384059,0.051601513336476,0.662683639311193,"CvsT4"
"Acerv_evm.TU.Segkk3628_pilon.2",67.8037088727337,-0.3418279457625,0.33630838277696,-1.01641220756962,0.30943313480261,0.836965304990105,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.9",158.601433820073,0.204989965635204,0.222435488624576,0.921570415326952,0.356752696090451,0.860057277213108,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.5",24.3297581630232,0.698451914877555,0.604051664319852,1.15627843797764,0.247567284983775,0.815551523151117,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.4",532.389515752194,0.121633344470253,0.25985862323489,0.468075074654369,0.639730903179143,0.938929723318608,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.2",779.49783699736,-0.888239920552891,0.340443168612423,-2.60906959647091,0.00907887755193218,0.378258672566907,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.1",1069.53338023697,-1.27723428036821,0.669294528209114,-1.90832918324584,0.0563486834073571,0.671017579747688,"CvsT4"
"Acerv_evm.TU.Segkk1900_pilon.1",183.080101526441,-0.26929561284916,0.16447489012332,-1.63730532148249,0.101566689576829,0.76012563411479,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.8",52.9399500914144,0.63127684175483,0.802008465247083,0.78711992342917,0.431211667416783,0.874764606359577,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.4",49.7155439086682,-0.615902713985128,0.490004232489524,-1.25693345719885,0.208777732196738,0.806779794111057,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.7",40.7936386657917,0.360951453988524,0.875066718971954,0.412484495368052,0.679984342676469,0.944920073528734,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.1",94.2048135079112,0.584561125878922,0.362786133527158,1.61131055422536,0.107112051527734,0.76012563411479,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.3",72.6967696210101,-0.482359423882177,0.281999102946105,-1.71049985210188,0.0871734807592242,0.740186405095172,"CvsT4"
"Acerv_evm.TU.Segkk2420_pilon.2",14.6549161678067,0.986005055908664,0.442086032660711,2.23034654583941,0.0257244453348475,0.555841090035613,"CvsT4"
"Acerv_evm.TU.Segkk60_pilon.21",35.4611672755438,-0.514152317687053,0.459738579600129,-1.11835799843957,0.263414125315078,0.820964455850131,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.5",512.985155462143,0.315072431435648,0.299596608149867,1.05165553569298,0.292957618101345,0.830661813388401,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.7",64.7680379294186,1.16563892379996,0.511409607218041,2.27926677040892,0.0226512120818996,0.533306271959517,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.1",151.619286280423,0.0990472146729666,0.21417089442029,0.462468137610687,0.643745646342965,0.939945161400511,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.9",77.9771550010746,-0.180410425315919,0.258455575363354,-0.698032631187338,0.485156787355465,0.89591767931811,"CvsT4"
"Acerv_evm.TU.Segkk896_pilon.7",76.8686512696231,0.0628151749612194,0.338916969284112,0.185340896603386,0.85296166280763,0.975403138272043,"CvsT4"
"Acerv_evm.TU.Segkk423_pilon.6",173.306617137346,-0.265163399828936,0.231380517741796,-1.14600573296685,0.251792779948149,0.816584077746025,"CvsT4"
"Acerv_evm.TU.Segkk3326_pilon.17",1918.11503745689,-0.346243117182567,0.215931912035453,-1.60348284752704,0.10882809304367,0.76214106837776,"CvsT4"
"Acerv_evm.TU.Segkk3326_pilon.16",114.621120195754,-0.0516242450695034,0.415443753265233,-0.124262898800995,0.901107122038297,0.981200709424093,"CvsT4"
"Acerv_evm.TU.Segkk3326_pilon.12",23.7450682666626,-0.257318102362957,0.348357033742245,-0.738661997430346,0.460112267428155,0.884827766330991,"CvsT4"
"Acerv_evm.TU.Segkk2335_pilon.34",19.8166290164409,0.409944165628165,0.453530436230749,0.90389559967612,0.366050762679251,0.860057277213108,"CvsT4"
"Acerv_evm.TU.Segkk2335_pilon.35",26.5873245731368,0.865769312643052,0.584049615297412,1.48235576219356,0.138245658247033,0.780687454518519,"CvsT4"
"Acerv_evm.TU.Segkk1889_pilon.1",74.2799365786909,0.0193083854312195,0.263439296660212,0.0732934899083175,0.941572572069061,0.989080002892492,"CvsT4"
