"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","gene_id"
"1",501.414761403948,-6.50048591445517,0.338080461226406,-19.2276296916843,2.17337089471544e-82,1.96494462591223e-78,"CvsT1",799,15,8,471,680,524,537,22,402,449,304,1079,353,"Acerv_evm.TU.Segkk3422_pilon.23"
"2",13.0779986841387,-2.33917935983457,0.585302225042974,-3.99653249167612,6.4277062984043e-05,0.0116292611999875,"CvsT1",15,5,10,15,22,15,13,9,9,14,6,11,10,"Acerv_evm.TU.Segkk1982_pilon.11"
"3",108.038694294678,-1.3060326455052,0.323682686224193,-4.03491660533427,5.46216942987845e-05,0.010735537785985,"CvsT1",106,116,145,64,136,116,91,128,94,113,44,123,91,"Acerv_evm.TU.Segkk1895_pilon.6"
"4",85.3391904283693,-1.96549487499799,0.530498319162573,-3.70499736568564,0.000211392929664647,0.0289576284408799,"CvsT1",46,59,78,114,151,78,48,54,18,98,97,163,46,"Acerv_evm.TU.Segkk2518_pilon.2"
"5",32.7178511520923,-3.87693233504515,0.581643558092809,-6.66547799094946,2.63805343340306e-11,2.65007123237745e-08,"CvsT1",25,7,6,27,35,30,43,10,35,50,14,39,28,"Acerv_evm.TU.Segkk1268_pilon.2"
"6",23.2441214056862,-1.95507287901798,0.525974080987769,-3.71705175157374,0.000201561167506284,0.0280356079296049,"CvsT1",23,30,13,32,47,27,16,8,11,19,19,48,7,"Acerv_evm.TU.Segkk3339_pilon.1"
"7",77.1896335654137,1.99330240438429,0.319098633754636,6.24666543046688,4.19307884932818e-10,3.44632962516146e-07,"CvsT1",52,433,437,26,65,32,40,315,32,38,26,39,14,"Acerv_evm.TU.Segkk3454_pilon.21"
"8",125.37822177916,2.68638193902099,0.289938276320914,9.26535803795565,1.94423925434041e-20,4.3944667746229e-17,"CvsT1",57,917,634,51,112,32,67,544,28,44,33,100,27,"Acerv_evm.TU.Segkk1157_pilon.2"
"9",1139.0920842611,-2.19267598311721,0.38989727244865,-5.62372742273028,1.86880451472114e-08,1.04421411436885e-05,"CvsT1",1663,338,822,1313,2299,1069,1214,352,627,587,1039,2012,590,"Acerv_evm.TU.Segkk3655_pilon.33"
"10",17.3545116190847,-2.19596679084672,0.574000256786549,-3.8257244049689,0.000130388096366736,0.0200892021053921,"CvsT1",36,11,5,19,36,14,17,8,7,12,14,32,8,"Acerv_evm.TU.Segkk398_pilon.1"
"11",25.2888475965967,-1.85170704039282,0.432356082333085,-4.28282870545179,1.845322324703e-05,0.00490794356619033,"CvsT1",38,21,16,30,38,18,24,16,20,27,10,49,13,"Acerv_evm.TU.Segkk2370_pilon.2"
"12",14.9341275232328,-2.08378509624139,0.504853344297007,-4.12750577921396,3.667192182363e-05,0.00753524648198724,"CvsT1",20,10,11,11,18,12,18,9,11,18,11,18,10,"Acerv_evm.TU.Segkk2199_pilon.3"
"13",43.0166370648931,2.51022801212021,0.563914786851197,4.4514314407978,8.52997671433006e-06,0.00275426855265208,"CvsT1",68,150,143,32,57,0,35,101,24,16,20,62,20,"Acerv_evm.TU.Segkk4302_pilon.20"
"14",40.2324030686657,2.21210113925795,0.618417172584229,3.57703705091834,0.000347510932744844,0.0448835191849448,"CvsT1",37,266,215,31,74,13,12,82,11,15,12,37,5,"Acerv_evm.TU.Segkk2165_pilon.11"
"15",94.0690851613865,-4.89515178342068,0.38346737963803,-12.7654972583102,2.55513693095633e-37,7.70033099759206e-34,"CvsT1",112,10,15,99,178,97,80,8,56,134,48,179,62,"Acerv_evm.TU.Segkk1630_pilon.6"
"16",24.8161342335489,-1.57571071364469,0.41877445903962,-3.76267148015256,0.000168107965895872,0.0245139374139449,"CvsT1",32,34,29,17,31,22,18,23,11,38,13,30,19,"Acerv_evm.TU.Segkk2763_pilon.1"
"17",51.0954126916286,-1.73396189629239,0.355099146196648,-4.88303594887316,1.04464816622312e-06,0.000429302912310148,"CvsT1",57,43,64,35,62,44,45,46,40,76,24,70,33,"Acerv_evm.TU.Segkk2335_pilon.20"
"18",16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1",34,8,12,16,18,17,18,0,12,19,7,24,12,"Acerv_evm.TU.Segkk1945_pilon.2"
"19",81.1219958015919,-3.77973582656705,0.911097229434392,-4.14855374866358,3.34582297625753e-05,0.0073530919127924,"CvsT1",84,36,34,59,73,134,65,33,0,199,25,113,63,"Acerv_evm.TU.Segkk4124_pilon.10"
"20",28.2148757275827,-3.64688473949684,0.522311169670211,-6.9822070659517,2.90578412652653e-12,4.37853238132106e-09,"CvsT1",36,6,9,24,38,25,41,6,33,37,14,37,13,"Acerv_evm.TU.Segkk1793_pilon.1"
"21",33.6848009571282,-1.52357279391906,0.360495275492717,-4.22633220875551,2.37531240662873e-05,0.00589177145459363,"CvsT1",45,34,39,30,53,26,32,19,25,36,22,49,18,"Acerv_evm.TU.Segkk2792_pilon.2"
"22",79.3767570534739,-2.21089804927808,0.333616345684242,-6.62706752195719,3.42421028805913e-11,3.09582852143426e-08,"CvsT1",85,48,38,70,158,69,99,55,70,86,45,112,37,"Acerv_evm.TU.Segkk1677_pilon.1"
"23",81.736840553775,-2.35736756829832,0.346669467046764,-6.80004382381999,1.04587331103668e-11,1.18196757563533e-08,"CvsT1",112,40,42,81,158,65,91,56,62,103,35,128,39,"Acerv_evm.TU.Segkk3405_pilon.7"
"24",232.324672539613,-5.21903368974746,0.397631609728434,-13.125298799338,2.35850657107763e-39,1.06616289545564e-35,"CvsT1",311,28,12,288,513,246,188,6,152,155,186,521,123,"Acerv_evm.TU.Segkk3394_pilon.16"
"25",364.692702804814,-2.09032509927881,0.520588406037635,-4.01531243307729,5.93670970466532e-05,0.0114199558382722,"CvsT1",297,582,334,231,189,427,94,455,195,933,102,398,267,"Acerv_evm.TU.Segkk454_pilon.2"
"26",120.204136086316,-1.95008122646433,0.490354971677507,-3.97687662835984,6.98263681701423e-05,0.0119026113318992,"CvsT1",153,192,159,98,120,134,43,77,40,246,62,144,70,"Acerv_evm.TU.Segkk2634_pilon.20"
"27",71.3458050965337,-1.23554385419739,0.276555955111456,-4.46760892818037,7.90987369566601e-06,0.00264863585490802,"CvsT1",104,110,79,61,93,65,72,63,48,74,32,82,46,"Acerv_evm.TU.Segkk358_pilon.2"
"28",88.6733280049009,-2.45000983822509,0.354889589152129,-6.90358329214009,5.0706902224965e-12,6.54915861451298e-09,"CvsT1",94,70,71,66,104,81,70,52,55,165,64,149,37,"Acerv_evm.TU.Segkk2181_pilon.1"
"29",79.6404445315258,-1.94063141829281,0.312110268666215,-6.21777497608774,5.04253989500193e-10,3.79913359922604e-07,"CvsT1",86,62,67,89,149,65,92,41,65,88,49,117,28,"Acerv_evm.TU.Segkk3996_pilon.1"
"30",74.9843103016989,-2.10691848578796,0.478739459573537,-4.40097101597769,1.07767520767506e-05,0.00324775385086339,"CvsT1",84,22,77,76,119,54,105,38,68,86,45,100,33,"Acerv_evm.TU.Segkk223_pilon.4"
"31",197.08207896563,1.22445918639654,0.33984362116343,3.60300770749997,0.000314556197665527,0.0412159794651308,"CvsT1",243,422,604,124,226,104,160,646,193,69,72,146,105,"Acerv_evm.TU.Segkk1040_pilon.15"
"32",87.0602308492711,-1.84261873668471,0.396270742130755,-4.6498985183133,3.32098395746331e-06,0.00125104233164274,"CvsT1",74,63,50,79,161,76,112,91,73,99,43,163,29,"Acerv_evm.TU.Segkk3395_pilon.4"
"33",30.4771373417541,-2.72603434565656,0.493419551096705,-5.52477975304689,3.29899190698961e-08,1.65701032394962e-05,"CvsT1",48,19,11,27,58,21,24,9,28,39,27,45,10,"Acerv_evm.TU.Segkk3525_pilon.1"
"34",52.0998325681553,-1.64624927389044,0.389833389281138,-4.22295606060365,2.41118840637058e-05,0.00589177145459363,"CvsT1",64,73,65,46,62,50,49,34,19,75,27,83,30,"Acerv_evm.TU.Segkk4345_pilon.12"
"35",104.277060227824,-2.40961330697902,0.429124064847801,-5.6151903478861,1.96345978810645e-08,1.04421411436885e-05,"CvsT1",110,35,36,108,186,75,283,28,72,50,81,132,38,"Acerv_evm.TU.Segkk119_pilon.17"
"36",23.2015840639911,-1.68612303961563,0.422156882663122,-3.99406739262177,6.49493895413674e-05,0.0116292611999875,"CvsT1",24,21,27,19,29,21,23,23,17,33,9,28,16,"Acerv_evm.TU.Segkk1821_pilon.34"
"37",15.0654175528371,-2.12969452162364,0.531344362762396,-4.00812480733137,6.12027755579259e-05,0.0115277977879002,"CvsT1",25,9,16,11,19,13,17,8,8,21,11,15,9,"Acerv_evm.TU.Segkk3096_pilon.7"
"38",13.2240912313041,-2.42144523740665,0.621181348324385,-3.89812933684891,9.69386403120898e-05,0.0156503972689572,"CvsT1",14,7,4,10,14,10,20,11,10,18,9,22,7,"Acerv_evm.TU.Segkk1708_pilon.21"
"39",212.109273438504,0.96622144876892,0.219007379745837,4.41182141848482,1.02504644359172e-05,0.00319567065396991,"CvsT1",199,849,693,131,240,115,144,644,123,148,88,234,55,"Acerv_evm.TU.Segkk20_pilon.1"
"40",46.7922294363289,-1.38889876144715,0.349128307392028,-3.97819005803958,6.94418556638071e-05,0.0119026113318992,"CvsT1",51,97,46,37,60,58,38,53,17,62,25,64,23,"Acerv_evm.TU.Segkk551_pilon.2"
"41",30.4296643857818,-1.85625161561983,0.433421850553339,-4.28278272830498,1.84570380765923e-05,0.00490794356619033,"CvsT1",33,17,32,27,61,22,35,20,25,37,19,46,11,"Acerv_evm.TU.Segkk3387_pilon.12"
"42",15.450054477822,-2.12699458742714,0.51466374776368,-4.1327849429251,3.58394035284925e-05,0.00753524648198724,"CvsT1",21,18,12,17,20,17,7,12,9,26,5,18,10,"Acerv_evm.TU.Segkk2242_pilon.3"
"43",18.0894108713994,-1.82639199531915,0.483509367168303,-3.77736631249879,0.000158495532008209,0.0234911164735446,"CvsT1",25,15,19,16,23,20,10,9,13,16,13,27,14,"Acerv_evm.TU.Segkk4265_pilon.3"
"44",17.5759453097951,-2.87586561522411,0.723924944271256,-3.97260190850188,7.10918053227026e-05,0.0119026113318992,"CvsT1",24,14,10,16,33,13,12,0,8,27,12,27,13,"Acerv_evm.TU.Segkk3419_pilon.10"
"45",121.863465802373,-1.86766318818933,0.448539844939159,-4.16387353155362,3.12893470734499e-05,0.00713265243076194,"CvsT1",157,127,178,90,144,99,82,64,58,212,56,215,78,"Acerv_evm.TU.Segkk36_pilon.2"
"46",36.5123550709456,-1.37876826413153,0.376324347874821,-3.66377639904969,0.000248523760270607,0.0335358703971128,"CvsT1",54,46,54,27,44,32,31,25,25,44,28,47,16,"Acerv_evm.TU.Segkk3397_pilon.3"
"47",30.6250342327356,-1.80161585310996,0.473059732512418,-3.8084320632018,0.000139850757065819,0.0210731782438679,"CvsT1",28,27,24,19,33,24,25,35,32,47,21,45,15,"Acerv_evm.TU.Segkk1299_pilon.1"
"48",115.311942577882,-0.928925328381399,0.257745294493396,-3.60404379139965,0.000313304233470876,0.0412159794651308,"CvsT1",190,140,150,101,172,104,102,130,63,86,90,152,56,"Acerv_evm.TU.Segkk3940_pilon.21"
"49",36.1003524326306,-2.72769415484527,0.459738148048264,-5.93314730662488,2.97181990537559e-09,2.06678644342313e-06,"CvsT1",33,11,16,51,67,33,38,8,27,22,34,47,24,"Acerv_evm.TU.Segkk3047_pilon.5"
"50",45.1241482110601,-1.34899420732794,0.334040415257076,-4.03841614880572,5.38133227315143e-05,0.010735537785985,"CvsT1",52,70,62,30,62,37,37,43,27,67,24,70,22,"Acerv_evm.TU.Segkk3914_pilon.1"
