"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk4074_pilon.1",31.917429100988,-1.62322400712951,0.409125319190597,-3.96754718173116,7.2616139171394e-05,0.0149209662329221,"CvsT3",56,21,25,41,76,19,43,23,21,16,26,41,8
"Acerv_evm.TU.Segkk3422_pilon.23",501.414761403948,-6.57140927343474,0.316934901700728,-20.7342556410525,1.70065606168771e-95,1.53756314537186e-91,"CvsT3",799,15,8,471,680,524,537,22,402,449,304,1079,353
"Acerv_evm.TU.Segkk1982_pilon.11",13.0779986841387,-2.00654063290544,0.545622808647958,-3.67752337531052,0.000235509499515653,0.0422982403036202,"CvsT3",15,5,10,15,22,15,13,9,9,14,6,11,10
"Acerv_evm.TU.Segkk1895_pilon.6",108.038694294678,-1.18183823321385,0.291386487252983,-4.05591297096688,4.99388527291276e-05,0.0111050162432418,"CvsT3",106,116,145,64,136,116,91,128,94,113,44,123,91
"Acerv_evm.TU.Segkk1779_pilon.5",34.1379515369695,-1.97350925774918,0.471256484644984,-4.18776042781862,2.81720665807411e-05,0.00707510149879111,"CvsT3",59,14,16,30,52,30,48,33,30,15,31,58,10
"Acerv_evm.TU.Segkk1268_pilon.2",32.7178511520923,-3.57808552936279,0.539667819677357,-6.63016284999533,3.35316723601489e-11,2.52633208173422e-08,"CvsT3",25,7,6,27,35,30,43,10,35,50,14,39,28
"Acerv_evm.TU.Segkk1038_pilon.1",94.4218384081348,-1.27508646352707,0.2856988853322,-4.46304318634092,8.0803759064965e-06,0.00251912684726327,"CvsT3",130,106,73,83,125,77,81,117,64,61,55,202,64
"Acerv_evm.TU.Segkk3047_pilon.14",72.850980799107,1.31526195794399,0.303523000226913,4.33331891474682,1.4687810025186e-05,0.004283628723797,"CvsT3",57,304,211,51,76,36,53,245,31,57,20,109,23
"Acerv_evm.TU.Segkk1022_pilon.1",16.7543130019435,-1.92582675466436,0.529597611437035,-3.63639622436878,0.00027647895304548,0.0455815873666253,"CvsT3",26,8,13,23,48,12,17,7,9,14,10,23,6
"Acerv_evm.TU.Segkk3454_pilon.21",77.1896335654137,2.15825799213794,0.285649903872979,7.55560552576858,4.16915640542541e-14,7.53866861229023e-11,"CvsT3",52,433,437,26,65,32,40,315,32,38,26,39,14
