"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk4074_pilon.1",31.917429100988,-2.12935337387391,0.396646276808437,-5.36839370082452,7.94409904224825e-08,3.59112997204832e-05,"CvsT2",56,21,25,41,76,19,43,23,21,16,26,41,8
"Acerv_evm.TU.Segkk3422_pilon.23",501.414761403948,-6.31229011800149,0.317141513687842,-19.9037018036516,3.77956845189301e-88,3.41710783735647e-84,"CvsT2",799,15,8,471,680,524,537,22,402,449,304,1079,353
"Acerv_evm.TU.Segkk1982_pilon.11",13.0779986841387,-1.93753397090053,0.545126250525832,-3.55428484508236,0.000379008479767661,0.0283191377320613,"CvsT2",15,5,10,15,22,15,13,9,9,14,6,11,10
"Acerv_evm.TU.Segkk2518_pilon.2",85.3391904283693,-1.98939956260186,0.47513702348121,-4.18700177903636,2.82663610939015e-05,0.00425926951083272,"CvsT2",46,59,78,114,151,78,48,54,18,98,97,163,46
"Acerv_evm.TU.Segkk2585_pilon.5",48.563080222559,-1.22765305530271,0.354670479151103,-3.46139057933742,0.000537392527535349,0.0371191216695815,"CvsT2",52,61,96,65,97,30,59,38,24,16,40,65,23
"Acerv_evm.TU.Segkk1613_pilon.8",146.648057815071,-1.04436337443395,0.274291665943246,-3.80749218479733,0.000140383174144302,0.0141022697493182,"CvsT2",167,271,137,159,272,110,136,129,116,73,98,240,73
"Acerv_evm.TU.Segkk1779_pilon.5",34.1379515369695,-2.23855445074054,0.46500803182433,-4.81401244180275,1.47929591540824e-06,0.000399269965664194,"CvsT2",59,14,16,30,52,30,48,33,30,15,31,58,10
"Acerv_evm.TU.Segkk2954_pilon.6",419.747681771995,1.44276615762846,0.330091167394018,4.37081115807709,1.23785816758665e-05,0.00227844009927636,"CvsT2",615,1560,965,225,497,322,105,1189,210,232,147,512,278
"Acerv_evm.TU.Segkk1822_pilon.2",599.904250476083,-2.74925435197546,0.49611784161171,-5.54153493662738,2.99831738261229e-08,1.50598819201098e-05,"CvsT2",386,406,368,522,938,404,1163,250,96,224,739,1588,352
"Acerv_evm.TU.Segkk1732_pilon.65",36.4763660174834,1.12145019199981,0.311721441941561,3.59760363295784,0.000321162547196004,0.0261588341369286,"CvsT2",33,151,104,19,38,25,27,100,16,33,13,47,12
"Acerv_evm.TU.Segkk1732_pilon.61",30.5603044396108,1.23060042044103,0.358761324257744,3.43013679912982,0.000603277016487774,0.0400183359457194,"CvsT2",39,108,75,16,35,30,18,94,24,18,9,29,9
"Acerv_evm.TU.Segkk2970_pilon.1",54.5385216666251,-2.39810001399176,0.487835559802026,-4.91579583695161,8.84225111387006e-07,0.000266475974401664,"CvsT2",72,21,39,38,111,38,130,44,42,27,41,53,21
"Acerv_evm.TU.Segkk1268_pilon.2",32.7178511520923,-3.27881675313432,0.542491971083299,-6.04399129923872,1.50347622745502e-09,9.06195238161392e-07,"CvsT2",25,7,6,27,35,30,43,10,35,50,14,39,28
"Acerv_evm.TU.Segkk2782_pilon.21",552.779694644731,-1.32862218205927,0.287979741285799,-4.61359599854876,3.95761342652261e-06,0.000917455974081819,"CvsT2",652,813,862,522,932,365,889,465,200,233,508,1025,190
"Acerv_evm.TU.Segkk4318_pilon.2",33.2094659588047,-1.37468927353532,0.376087078402534,-3.65524197048844,0.000256939520777674,0.0221237162604853,"CvsT2",38,26,39,35,60,23,47,54,20,15,31,39,13
"Acerv_evm.TU.Segkk1038_pilon.1",94.4218384081348,-1.02503295262449,0.287167638902193,-3.5694584408712,0.000357719958161008,0.0271776986700309,"CvsT2",130,106,73,83,125,77,81,117,64,61,55,202,64
"Acerv_evm.TU.Segkk3363_pilon.30",85.3218431635361,-1.11836621811334,0.323746469287667,-3.45445070203874,0.000551415016983944,0.0377677512769079,"CvsT2",94,93,151,87,130,60,136,99,76,37,54,91,36
"Acerv_evm.TU.Segkk3339_pilon.1",23.2441214056862,-1.91665590398103,0.473999007376835,-4.0435863243428,5.26397624029035e-05,0.00670304354767114,"CvsT2",23,30,13,32,47,27,16,8,11,19,19,48,7
"Acerv_evm.TU.Segkk3047_pilon.14",72.850980799107,1.18110274284855,0.298522616031968,3.95649334227351,7.60580070221525e-05,0.00870430938591494,"CvsT2",57,304,211,51,76,36,53,245,31,57,20,109,23
"Acerv_evm.TU.Segkk1022_pilon.1",16.7543130019435,-2.29057355954668,0.514700022374093,-4.45030786861293,8.57472767507857e-06,0.00168530680239968,"CvsT2",26,8,13,23,48,12,17,7,9,14,10,23,6
"Acerv_evm.TU.Segkk3750_pilon.2",15.3169350070522,-2.21533588486004,0.500280429667042,-4.42818817904678,9.50279768616185e-06,0.00182797433788488,"CvsT2",25,10,12,12,23,13,30,9,13,10,11,20,4
"Acerv_evm.TU.Segkk984_pilon.10",115.514816285691,0.941687850940453,0.266052673053667,3.53947900666459,0.000400917656744912,0.0297106273330389,"CvsT2",124,327,254,73,90,104,81,381,63,129,33,98,51
