"","GO.IDs"
"165","GO:0000164"
"641","GO:0000792"
"3998","GO:0005576"
"4087","GO:0005615"
"4218","GO:0005739"
"4434","GO:0005912"
"4484","GO:0005927"
"7648","GO:0009507"
"10768","GO:0016323"
"15726","GO:0031314"
"16449","GO:0031966"
"16668","GO:0032154"
"17059","GO:0032476"
"17199","GO:0032592"
"21004","GO:0042587"
"21044","GO:0042622"
"26718","GO:0048770"
"30844","GO:0061671"
"30845","GO:0062023"
"30954","GO:0070069"
"32682","GO:0090740"
"32685","GO:0097189"
"32692","GO:0097381"
"32702","GO:0097631"
"32730","GO:0110165"
