"","GO.IDs"
"406","GO:0000413"
"510","GO:0000578"
"827","GO:0001503"
"884","GO:0001558"
"960","GO:0001654"
"980","GO:0001659"
"1023","GO:0001710"
"1077","GO:0001764"
"1236","GO:0001893"
"1284","GO:0001937"
"1292","GO:0001944"
"1298","GO:0001945"
"1308","GO:0001952"
"1480","GO:0002098"
"1532","GO:0002143"
"1547","GO:0002168"
"2180","GO:0002785"
"2361","GO:0003012"
"2435","GO:0003084"
"2479","GO:0003197"
"2482","GO:0003338"
"2488","GO:0003339"
"2492","GO:0003416"
"2496","GO:0003417"
"4537","GO:0005979"
"4540","GO:0005981"
"4822","GO:0006287"
"4862","GO:0006311"
"5072","GO:0006534"
"5075","GO:0006535"
"5169","GO:0006626"
"5215","GO:0006667"
"5242","GO:0006694"
"5251","GO:0006700"
"5316","GO:0006777"
"5329","GO:0006783"
"5333","GO:0006784"
"5364","GO:0006820"
"5368","GO:0006825"
"5370","GO:0006826"
"5394","GO:0006856"
"5401","GO:0006864"
"5412","GO:0006879"
"5422","GO:0006885"
"5518","GO:0006975"
"5527","GO:0006979"
"5580","GO:0007017"
"5755","GO:0007156"
"5764","GO:0007157"
"5903","GO:0007275"
"5936","GO:0007292"
"6020","GO:0007374"
"6023","GO:0007377"
"6044","GO:0007398"
"6139","GO:0007492"
"6179","GO:0007527"
"6223","GO:0007565"
"6230","GO:0007566"
"6250","GO:0007595"
"6259","GO:0007601"
"6301","GO:0007634"
"6334","GO:0008033"
"6353","GO:0008045"
"6452","GO:0008152"
"6509","GO:0008210"
"6590","GO:0008299"
"6637","GO:0008347"
"6666","GO:0008377"
"6799","GO:0008535"
"6826","GO:0008582"
"6840","GO:0008585"
"6853","GO:0008595"
"6868","GO:0008614"
"6869","GO:0008615"
"6907","GO:0008652"
"7429","GO:0009228"
"7468","GO:0009267"
"7475","GO:0009268"
"7733","GO:0009584"
"7761","GO:0009617"
"7790","GO:0009645"
"7831","GO:0009688"
"7930","GO:0009785"
"7932","GO:0009786"
"8029","GO:0009880"
