"","GO.IDs"
"7","GO:0000010"
"30","GO:0000035"
"32","GO:0000036"
"178","GO:0000170"
"1338","GO:0001972"
"2538","GO:0003725"
"2552","GO:0003755"
"2567","GO:0003824"
"2632","GO:0003868"
"2656","GO:0003906"
"2683","GO:0003943"
"2786","GO:0004064"
"2813","GO:0004089"
"2843","GO:0004121"
"2846","GO:0004123"
"2920","GO:0004311"
"2932","GO:0004322"
"3013","GO:0004414"
"3020","GO:0004421"
"3084","GO:0004497"
"3092","GO:0004499"
"3180","GO:0004601"
"3289","GO:0004713"
"3301","GO:0004714"
"3340","GO:0004733"
"3392","GO:0004792"
"3481","GO:0004879"
"3670","GO:0005102"
"3690","GO:0005109"
"3719","GO:0005125"
"3792","GO:0005200"
"3944","GO:0005488"
"3949","GO:0005497"
"3955","GO:0005502"
"3976","GO:0005528"
"6321","GO:0008020"
"6424","GO:0008113"
"6428","GO:0008117"
"6436","GO:0008127"
"6495","GO:0008199"
"6703","GO:0008417"
"6766","GO:0008495"
"6770","GO:0008503"
"6797","GO:0008534"
"6817","GO:0008558"
"6893","GO:0008641"
"6920","GO:0008663"
"6937","GO:0008681"
"7045","GO:0008806"
"7072","GO:0008834"
"7129","GO:0008899"
"7216","GO:0009001"
"8044","GO:0009881"
"8050","GO:0009882"
"8640","GO:0010436"
"9134","GO:0010844"
"9796","GO:0015208"
"9806","GO:0015218"
"10913","GO:0016491"
"10977","GO:0016531"
"11090","GO:0016638"
"11103","GO:0016653"
"11136","GO:0016701"
"11146","GO:0016712"
"11178","GO:0016750"
"11207","GO:0016783"
"11228","GO:0016799"
"11252","GO:0016829"
"11273","GO:0016840"
"11278","GO:0016846"
"11290","GO:0016859"
"11573","GO:0018024"
"12596","GO:0019104"
"13441","GO:0020037"
"14266","GO:0022821"
"14485","GO:0030170"
"15507","GO:0031132"
"16190","GO:0031723"
"16754","GO:0032217"
"20305","GO:0038062"
"20323","GO:0039706"
"20419","GO:0042054"
"20498","GO:0042131"
"20676","GO:0042284"
"20682","GO:0042292"
"21257","GO:0042800"
"21361","GO:0042907"
"21653","GO:0043177"
"22776","GO:0044540"
"23368","GO:0045549"
"24434","GO:0046573"
"24813","GO:0046920"
"24866","GO:0046975"
"25618","GO:0047734"
"25895","GO:0048018"
"26986","GO:0050054"
"27128","GO:0050196"
"27266","GO:0050334"
"27280","GO:0050347"
"27581","GO:0050660"
"29583","GO:0052923"
"30828","GO:0061604"
"30836","GO:0061605"
"30864","GO:0062183"
"32014","GO:0071949"
"32559","GO:0080102"
"32563","GO:0080103"
"32567","GO:0080104"
"32571","GO:0080105"
"32575","GO:0080106"
"32579","GO:0080107"
"32620","GO:0080146"
"32691","GO:0097269"
"32718","GO:0101020"
"32720","GO:0101021"
"32722","GO:0102162"
"32723","GO:0102306"
"32724","GO:0102355"
"32725","GO:0102395"
"32727","GO:0106256"
"32732","GO:0120020"
"32734","GO:0140078"
"32736","GO:0140211"
"32755","GO:1902379"
"32812","GO:1905948"
"32846","GO:2001069"
