"","Replicate","Species","Treatment","Location","SampleID"
"17_ctl2_Of_ZTH_1",2,"Obicella faveolata","control","FLKeys","17_ctl2_Of_ZTH_1"
"18_T33_Of_VLL",3,"Obicella faveolata","Treatment3","FLKeys","18_T33_Of_VLL"
"23_ctl1_Of_CT_1",1,"Obicella faveolata","control","FLKeys","23_ctl1_Of_CT_1"
"26_T12_Of_WCL",2,"Obicella faveolata","Treatment1","FLKeys","26_T12_Of_WCL"
"30_T23_Of_RPG",3,"Obicella faveolata","Treatment2","FLKeys","30_T23_Of_RPG"
"32_T22_Of_EVR",2,"Obicella faveolata","Treatment2","FLKeys","32_T22_Of_EVR"
"36_T43_Of_JJN",3,"Obicella faveolata","Treatment4","FLKeys","36_T43_Of_JJN"
"40_T13_Of_GWS",3,"Obicella faveolata","Treatment1","FLKeys","40_T13_Of_GWS"
"43_ctl3_Of_JVP_1",3,"Obicella faveolata","control","FLKeys","43_ctl3_Of_JVP_1"
"44_T41_Of_PVT_1",1,"Obicella faveolata","Treatment4","FLKeys","44_T41_Of_PVT_1"
"48_T31_Of_JNO",1,"Obicella faveolata","Treatment3","FLKeys","48_T31_Of_JNO"
"50_T21_Of_YZB",1,"Obicella faveolata","Treatment2","FLKeys","50_T21_Of_YZB"
"51_T42_Of_UOF",2,"Obicella faveolata","Treatment4","FLKeys","51_T42_Of_UOF"
"59_T11_Of_TQP",1,"Obicella faveolata","Treatment1","FLKeys","59_T11_Of_TQP"
"60_T32_Of_WY",2,"Obicella faveolata","Treatment3","FLKeys","60_T32_Of_WY"
