"","Replicate","Species","Treatment","Location","SampleID"
"19_T33_Ac_WK",3,"Acropora cervicornis","Treatment3","FLKeys","19_T33_Ac_WK"
"24_T12_Ac_FM",2,"Acropora cervicornis","Treatment1","FLKeys","24_T12_Ac_FM"
"25_ctl1_Ac_GF_1",1,"Acropora cervicornis","control","FLKeys","25_ctl1_Ac_GF_1"
"27_ctl2_Ac_YG_1",2,"Acropora cervicornis","control","FLKeys","27_ctl2_Ac_YG_1"
"31_T22_Ac_UV",2,"Acropora cervicornis","Treatment2","FLKeys","31_T22_Ac_UV"
"35_T43_Ac_MT",3,"Acropora cervicornis","Treatment4","FLKeys","35_T43_Ac_MT"
"37_T13_Ac_ML",3,"Acropora cervicornis","Treatment1","FLKeys","37_T13_Ac_ML"
"38_T23_Ac_IN",3,"Acropora cervicornis","Treatment2","FLKeys","38_T23_Ac_IN"
"41_ctl3_Ac_RN_1",3,"Acropora cervicornis","control","FLKeys","41_ctl3_Ac_RN_1"
"45_T41_Ac_SC_1",1,"Acropora cervicornis","Treatment4","FLKeys","45_T41_Ac_SC_1"
"47_T31_Ac_JB",1,"Acropora cervicornis","Treatment3","FLKeys","47_T31_Ac_JB"
"52_T11_Ac_II",1,"Acropora cervicornis","Treatment1","FLKeys","52_T11_Ac_II"
"53_T21_Ac_NH",1,"Acropora cervicornis","Treatment2","FLKeys","53_T21_Ac_NH"
"54_T42_Ac_JQ",2,"Acropora cervicornis","Treatment4","FLKeys","54_T42_Ac_JQ"
"57_T32_Ac_NM",2,"Acropora cervicornis","Treatment3","FLKeys","57_T32_Ac_NM"
