#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2015	1	1	0	3	999	99	99	2.41	9.88	7.78	354	9999	999	24.2	999	99	99
2015	1	1	0	33	999	99	99	2.49	9.88	7.69	354	9999	999	24.2	999	99	99
2015	1	1	1	3	999	99	99	2.75	9.88	7.93	355	9999	999	24.2	999	99	99
2015	1	1	1	33	999	99	99	2.6	11.11	8.2	352	9999	999	24.2	999	99	99
2015	1	1	2	3	999	99	99	2.78	12.5	8.24	358	9999	999	24.2	999	99	99
2015	1	1	2	33	999	99	99	2.76	11.11	8.19	3	9999	999	24.2	999	99	99
2015	1	1	3	3	999	99	99	3.24	11.76	8.96	358	9999	999	24.2	999	99	99
2015	1	1	3	33	999	99	99	3.05	13.33	8.75	1	9999	999	24.2	999	99	99
2015	1	1	4	3	999	99	99	3.51	11.76	9.45	354	9999	999	24.2	999	99	99
2015	1	1	4	33	999	99	99	3.36	11.76	9.68	352	9999	999	24.2	999	99	99
2015	1	1	5	3	999	99	99	3.1	14.29	9.24	1	9999	999	24.1	999	99	99
2015	1	1	5	33	999	99	99	3.51	12.5	9.69	354	9999	999	24.1	999	99	99
2015	1	1	6	3	999	99	99	3.51	12.5	9.67	359	9999	999	24.1	999	99	99
2015	1	1	6	33	999	99	99	3.9	12.5	10.02	354	9999	999	24.1	999	99	99
2015	1	1	7	3	999	99	99	3.96	12.5	9.98	355	9999	999	24.1	999	99	99
2015	1	1	7	33	999	99	99	3.67	12.5	9.71	349	9999	999	24.1	999	99	99
2015	1	1	8	3	999	99	99	3.8	12.5	9.86	352	9999	999	24.1	999	99	99
2015	1	1	8	33	999	99	99	4.09	12.5	10.27	352	9999	999	24.1	999	99	99
2015	1	1	9	3	999	99	99	4.05	13.33	10.35	352	9999	999	24.1	999	99	99
2015	1	1	9	33	999	99	99	4.1	12.5	10.42	354	9999	999	24.1	999	99	99
2015	1	1	10	3	999	99	99	4.13	11.11	10.25	349	9999	999	24.1	999	99	99
2015	1	1	10	33	999	99	99	3.72	13.33	10.32	352	9999	999	24.1	999	99	99
2015	1	1	11	3	999	99	99	3.71	13.33	10.33	359	9999	999	24.1	999	99	99
2015	1	1	11	33	999	99	99	3.75	12.5	10.27	359	9999	999	24.1	999	99	99
2015	1	1	12	3	999	99	99	3.65	12.5	10.14	352	9999	999	24.1	999	99	99
2015	1	1	12	33	999	99	99	3.38	13.33	9.92	358	9999	999	24.1	999	99	99
2015	1	1	13	3	999	99	99	3.87	13.33	10.09	354	9999	999	24.1	999	99	99
2015	1	1	13	33	999	99	99	3.41	13.33	9.96	2	9999	999	24.1	999	99	99
2015	1	1	14	3	999	99	99	3.47	13.33	9.94	356	9999	999	24.1	999	99	99
2015	1	1	14	33	999	99	99	3.52	12.5	9.93	356	9999	999	24.1	999	99	99
2015	1	1	15	3	999	99	99	3.24	11.11	9.41	2	9999	999	24.1	999	99	99
2015	1	1	15	33	999	99	99	3.88	11.76	9.88	358	9999	999	24.1	999	99	99
2015	1	1	16	3	999	99	99	3.34	12.5	9.56	6	9999	999	24.1	999	99	99
2015	1	1	16	33	999	99	99	2.95	12.5	9.13	355	9999	999	24.1	999	99	99
2015	1	1	17	3	999	99	99	3.44	12.5	9.68	358	9999	999	24.1	999	99	99
2015	1	1	17	33	999	99	99	3.19	12.5	9.51	356	9999	999	24.1	999	99	99
2015	1	1	18	3	999	99	99	3.12	12.5	9.42	1	9999	999	24.1	999	99	99
2015	1	1	18	33	999	99	99	2.92	12.5	9.34	359	9999	999	24.1	999	99	99
2015	1	1	19	3	999	99	99	2.98	12.5	9.48	2	9999	999	24.1	999	99	99
2015	1	1	19	33	999	99	99	3.09	11.76	9.82	358	9999	999	24.1	999	99	99
2015	1	1	20	3	999	99	99	3.24	11.76	9.62	358	9999	999	24.1	999	99	99
2015	1	1	20	33	999	99	99	2.72	12.5	9.16	359	9999	999	24.1	999	99	99
2015	1	1	21	3	999	99	99	2.71	11.76	9.34	1	9999	999	24.3	999	99	99
2015	1	1	21	33	999	99	99	3.04	10.53	9.52	3	9999	999	24.3	999	99	99
2015	1	1	22	3	999	99	99	2.67	11.11	9.19	5	9999	999	24.2	999	99	99
2015	1	1	22	33	999	99	99	2.77	11.76	9.22	356	9999	999	24.1	999	99	99
2015	1	1	23	3	999	99	99	2.69	12.5	9.22	356	9999	999	24.1	999	99	99
2015	1	1	23	33	999	99	99	2.6	12.5	8.84	6	9999	999	24.1	999	99	99
2015	1	2	0	3	999	99	99	2.91	11.76	8.84	2	9999	999	24.1	999	99	99
2015	1	2	0	33	999	99	99	2.54	11.76	8.38	359	9999	999	24.1	999	99	99
2015	1	2	1	3	999	99	99	2.48	11.76	8.45	5	9999	999	24.1	999	99	99
2015	1	2	1	33	999	99	99	2.47	11.76	8.93	6	9999	999	24.1	999	99	99
2015	1	2	2	3	999	99	99	2.52	12.5	9	1	9999	999	24.1	999	99	99
2015	1	2	2	33	999	99	99	2.31	11.11	8.65	355	9999	999	24.1	999	99	99
2015	1	2	3	3	999	99	99	2.51	11.76	8.97	2	9999	999	24.1	999	99	99
2015	1	2	3	33	999	99	99	2.48	11.76	9.07	1	9999	999	24.1	999	99	99
2015	1	2	4	3	999	99	99	2.17	11.11	8.5	354	9999	999	24.1	999	99	99
2015	1	2	4	33	999	99	99	2.31	11.76	8.93	2	9999	999	24.1	999	99	99
2015	1	2	5	3	999	99	99	2.09	11.76	8.71	356	9999	999	24.1	999	99	99
2015	1	2	5	33	999	99	99	2.23	11.11	8.73	358	9999	999	24.1	999	99	99
2015	1	2	6	3	999	99	99	2.18	11.76	8.87	358	9999	999	24	999	99	99
2015	1	2	6	33	999	99	99	1.88	11.11	8.61	356	9999	999	24	999	99	99
2015	1	2	7	3	999	99	99	2.03	9.88	8.64	8	9999	999	24	999	99	99
2015	1	2	7	33	999	99	99	2.11	11.11	8.77	354	9999	999	24	999	99	99
2015	1	2	8	3	999	99	99	2.02	11.11	8.67	359	9999	999	24	999	99	99
2015	1	2	8	33	999	99	99	1.94	10.53	8.45	359	9999	999	23.9	999	99	99
2015	1	2	9	3	999	99	99	2.02	10.53	8.56	354	9999	999	23.9	999	99	99
2015	1	2	9	33	999	99	99	1.96	10.53	8.38	356	9999	999	23.9	999	99	99
2015	1	2	10	3	999	99	99	2.16	11.11	8.62	355	9999	999	23.9	999	99	99
2015	1	2	10	33	999	99	99	2.14	11.11	8.66	358	9999	999	23.9	999	99	99
2015	1	2	11	3	999	99	99	1.89	10.53	8.09	2	9999	999	24	999	99	99
2015	1	2	11	33	999	99	99	2.02	11.11	8.41	356	9999	999	24	999	99	99
2015	1	2	12	3	999	99	99	2.21	10.53	8.55	358	9999	999	24	999	99	99
2015	1	2	12	33	999	99	99	1.89	10.53	8.16	8	9999	999	24	999	99	99
2015	1	2	13	3	999	99	99	1.99	11.11	8.59	354	9999	999	24	999	99	99
2015	1	2	13	33	999	99	99	1.98	10.53	8.5	359	9999	999	24	999	99	99
2015	1	2	14	3	999	99	99	1.9	10.53	8.44	354	9999	999	23.9	999	99	99
2015	1	2	14	33	999	99	99	1.91	10.53	8.7	354	9999	999	23.9	999	99	99
2015	1	2	15	3	999	99	99	1.88	10.53	8.71	358	9999	999	24	999	99	99
2015	1	2	15	33	999	99	99	1.89	10.53	8.7	8	9999	999	24	999	99	99
2015	1	2	16	3	999	99	99	1.72	10.53	8.34	354	9999	999	24	999	99	99
2015	1	2	16	33	999	99	99	2.01	9.88	8.7	2	9999	999	24	999	99	99
2015	1	2	17	3	999	99	99	1.91	9.88	8.63	3	9999	999	24	999	99	99
2015	1	2	17	33	999	99	99	1.77	10.53	8.29	359	9999	999	24	999	99	99
2015	1	2	18	3	999	99	99	1.77	11.11	8.37	355	9999	999	24	999	99	99
2015	1	2	18	33	999	99	99	1.83	10.53	8.56	358	9999	999	24	999	99	99
2015	1	2	19	3	999	99	99	1.94	9.88	8.69	3	9999	999	24	999	99	99
2015	1	2	19	33	999	99	99	1.94	9.88	8.55	3	9999	999	24	999	99	99
2015	1	2	20	3	999	99	99	1.74	10.53	8.54	354	9999	999	24	999	99	99
2015	1	2	20	33	999	99	99	1.79	11.11	8.5	356	9999	999	24	999	99	99
2015	1	2	21	33	999	99	99	1.88	10.53	8.73	3	9999	999	24	999	99	99
2015	1	2	22	3	999	99	99	1.76	10.53	8.78	351	9999	999	24	999	99	99
2015	1	2	22	33	999	99	99	1.65	9.88	7.92	1	9999	999	24	999	99	99
2015	1	2	23	3	999	99	99	1.7	11.76	8.17	349	9999	999	24	999	99	99
2015	1	2	23	33	999	99	99	1.68	10.53	8.4	351	9999	999	24	999	99	99
2015	1	3	0	3	999	99	99	1.61	11.11	8.52	349	9999	999	24	999	99	99
2015	1	3	0	33	999	99	99	1.72	9.88	8.54	351	9999	999	24	999	99	99
2015	1	3	1	3	999	99	99	1.61	10.53	7.88	359	9999	999	24	999	99	99
2015	1	3	1	33	999	99	99	1.5	10.53	8.05	9	9999	999	24	999	99	99
2015	1	3	2	3	999	99	99	1.31	11.11	7.19	352	9999	999	24	999	99	99
2015	1	3	2	33	999	99	99	1.54	9.88	7.87	358	9999	999	24	999	99	99
2015	1	3	3	3	999	99	99	1.56	10.53	7.43	8	9999	999	24	999	99	99
2015	1	3	3	33	999	99	99	1.53	9.88	7.72	359	9999	999	24	999	99	99
2015	1	3	4	3	999	99	99	1.32	10.53	6.8	3	9999	999	24	999	99	99
2015	1	3	4	33	999	99	99	1.41	10.53	7.33	358	9999	999	24	999	99	99
2015	1	3	5	3	999	99	99	1.37	9.88	6.21	355	9999	999	24	999	99	99
2015	1	3	5	33	999	99	99	1.42	10.53	6.25	359	9999	999	24	999	99	99
2015	1	3	6	3	999	99	99	1.45	10.53	6.4	2	9999	999	24	999	99	99
2015	1	3	6	33	999	99	99	1.39	9.88	5.71	359	9999	999	24	999	99	99
2015	1	3	7	3	999	99	99	1.33	9.88	5.6	8	9999	999	24	999	99	99
2015	1	3	7	33	999	99	99	1.35	9.88	5.75	356	9999	999	24	999	99	99
2015	1	3	8	3	999	99	99	1.18	9.88	5.94	354	9999	999	24	999	99	99
2015	1	3	8	33	999	99	99	1.22	9.88	6.33	6	9999	999	24	999	99	99
2015	1	3	9	3	999	99	99	1.2	9.88	6.49	359	9999	999	24	999	99	99
2015	1	3	9	33	999	99	99	1.16	9.88	6.48	3	9999	999	24	999	99	99
2015	1	3	10	3	999	99	99	1.28	9.09	6.67	351	9999	999	24	999	99	99
2015	1	3	10	33	999	99	99	1.49	9.09	5.91	10	9999	999	24	999	99	99
2015	1	3	11	3	999	99	99	1.81	9.09	5.81	354	9999	999	24	999	99	99
2015	1	3	11	33	999	99	99	1.99	9.09	5.51	358	9999	999	24	999	99	99
2015	1	3	12	3	999	99	99	1.98	8.33	5.58	358	9999	999	24	999	99	99
2015	1	3	12	33	999	99	99	2.01	9.09	5.77	355	9999	999	24	999	99	99
2015	1	3	13	3	999	99	99	2.03	9.09	5.66	355	9999	999	23.9	999	99	99
2015	1	3	13	33	999	99	99	2.09	9.88	5.73	6	9999	999	24	999	99	99
2015	1	3	14	3	999	99	99	2.14	8.33	5.77	5	9999	999	24	999	99	99
2015	1	3	14	33	999	99	99	2.23	8.33	6.12	1	9999	999	23.9	999	99	99
2015	1	3	15	3	999	99	99	2.27	8.33	5.9	5	9999	999	24	999	99	99
2015	1	3	15	33	999	99	99	2.28	7.14	5.94	359	9999	999	23.9	999	99	99
2015	1	3	16	3	999	99	99	2.24	7.69	6.17	358	9999	999	23.9	999	99	99
2015	1	3	16	33	999	99	99	2.19	8.33	5.93	6	9999	999	23.9	999	99	99
2015	1	3	17	3	999	99	99	2.07	8.33	5.8	9	9999	999	23.9	999	99	99
2015	1	3	17	33	999	99	99	2.12	9.09	6.09	13	9999	999	23.9	999	99	99
2015	1	3	18	3	999	99	99	2.14	7.14	6.15	358	9999	999	23.9	999	99	99
2015	1	3	18	33	999	99	99	1.98	7.14	5.84	3	9999	999	23.9	999	99	99
2015	1	3	19	3	999	99	99	1.89	9.09	5.8	20	9999	999	23.9	999	99	99
2015	1	3	19	33	999	99	99	1.96	9.88	5.85	24	9999	999	23.8	999	99	99
2015	1	3	20	3	999	99	99	1.77	6.67	5.99	10	9999	999	23.8	999	99	99
2015	1	3	20	33	999	99	99	1.88	9.88	6	356	9999	999	23.8	999	99	99
2015	1	3	21	3	999	99	99	1.79	10.53	6.41	12	9999	999	23.8	999	99	99
2015	1	3	21	33	999	99	99	1.58	9.09	5.96	17	9999	999	24	999	99	99
