"","Replicate","Species","Treatment","Location","SampleID"
"20_T12_Mc_PWC",2,"Montastraea cavernosa","Treatment1","FLKeys","20_T12_Mc_PWC"
"21_T33_Mc_EOU",3,"Montastraea cavernosa","Treatment3","FLKeys","21_T33_Mc_EOU"
"22_ctl2_Mc_TWF_1",2,"Montastraea cavernosa","control","FLKeys","22_ctl2_Mc_TWF_1"
"28_ctl1_Mc_GBM_1",1,"Montastraea cavernosa","control","FLKeys","28_ctl1_Mc_GBM_1"
"29_T23_Mc_PND",3,"Montastraea cavernosa","Treatment2","FLKeys","29_T23_Mc_PND"
"33_T43_Mc_RFV",3,"Montastraea cavernosa","Treatment4","FLKeys","33_T43_Mc_RFV"
"34_T22_Mc_SVS",2,"Montastraea cavernosa","Treatment2","FLKeys","34_T22_Mc_SVS"
"39_T13_Mc_FJE",3,"Montastraea cavernosa","Treatment1","FLKeys","39_T13_Mc_FJE"
"42_ctl3_Mc_MGR_1",3,"Montastraea cavernosa","control","FLKeys","42_ctl3_Mc_MGR_1"
"46_T41_Mc_QYH_1",1,"Montastraea cavernosa","Treatment4","FLKeys","46_T41_Mc_QYH_1"
"49_T31_Mc_SWQ",1,"Montastraea cavernosa","Treatment3","FLKeys","49_T31_Mc_SWQ"
"55_T32_Mc_TWP",2,"Montastraea cavernosa","Treatment3","FLKeys","55_T32_Mc_TWP"
"56_T42_Mc_JAW",2,"Montastraea cavernosa","Treatment4","FLKeys","56_T42_Mc_JAW"
"58_T21_Mc_EAH",1,"Montastraea cavernosa","Treatment2","FLKeys","58_T21_Mc_EAH"
"61_T11_Mc_RAP",1,"Montastraea cavernosa","Treatment1","FLKeys","61_T11_Mc_RAP"
