Date.Collected,Time,Sample.ID,Sample name,Rep,Species,Treatment in mg/L of sediment,Location,File.Name.fastq,md5checksum_JA,notes
NA,NA,14004RX5,27_ctl2_Ac_YG,2,Acropora cervicornis,Ctl,FLKeys,27_ctl2_Ac_YG_1.fastq.gz; 27_ctl2_Ac_YG_2.fastq.gz,16c7a53583022d7d79e725ef02cb3788;4cc3604fce8e9bcb8443e450c4a28c74,
NA,NA,14004RX6,28_ctl1_Mc_GBM,1,Montastraea cavernosa,Ctl,FLKeys,28_ctl1_Mc_GBM_1.fastq.gz; 28_ctl1_Mc_GBM_2.fastq.gz,7ff66ccdc8c8b9f3136ee0dac27d3620;7c15ceef5e9377716b18777392b00dda,
NA,NA,14005RX29,29_T2.3_Mc_PND,3,Montastraea cavernosa,T2,FLKeys,29_T23_Mc_PND.txt.gz,61d622d962209afbed7ce288cd1c617d,
NA,NA,14005RX30,30_T2.3_Of_RPG,3,Obicella faveolata,T2,FLKeys,30_T23_Of_RPG.txt.gz,144c872baaa81b7f956e246540a13377,
NA,NA,14005RX31,31_T2.2_Ac_UV,2,Acropora cervicornis,T2,FLKeys,31_T22_Ac_UV.txt.gz,6da35f4b567c9213066c3de9db34d83a,
NA,NA,14005RX32,32_T2.2_Of_EVR,2,Obicella faveolata,T2,FLKeys,32_T22_Of_EVR.txt.gz,cc80ab541e0d4b7e90783b5c66d255a4,
NA,NA,14163RX16,33_T4.3_Mc_RFV,3,Montastraea cavernosa,T4,FLKeys,33_T43_Mc_RFV.txt.gz,3745785be4cdce2aec09e741c96bb87e,
NA,NA,14005RX7,34_T2.2_Mc_SVS,2,Montastraea cavernosa,T2,FLKeys,34_T22_Mc_SVS.txt.gz,cc41af463860e996630f2ca23fbead42,
NA,NA,14005RX8,35_T4.3_Ac_MT,3,Acropora cervicornis,T4,FLKeys,35_T43_Ac_MT.txt.gz,3fe6e3df75ce7f420220315f26907fe9,
NA,NA,14005RX9,36_T4.3_Of_JJN,3,Obicella faveolata,T4,FLKeys,36_T43_Of_JJN.txt.gz,ef94bdf372da5e7ccf8aca40a3c6334d,
NA,NA,14005RX10,37_T1.3_Ac_ML,3,Acropora cervicornis,T1,FLKeys,37_T13_Ac_ML.txt.gz,533ff3d1294557528ac0156eb40fc1e2,
NA,NA,14005RX11,38_T2.3_Ac_IN,3,Acropora cervicornis,T2,FLKeys,38_T23_Ac_IN.txt.gz,efbb37c68cc03f2bca5bc8320e2b5020,
NA,NA,14005RX12,39_T1.3_Mc_FJE,3,Montastraea cavernosa,T1,FLKeys,39_T13_Mc_FJE.txt.gz,8d09598e8fbea4fd5423b9a390a43304,
NA,NA,14005RX13,40_T1.3_Of_GWS,3,Obicella faveolata,T1,FLKeys,40_T13_Of_GWS.txt.gz,dda6da4e8beb31a9b7d1b0d8c5693f4c,
NA,NA,14004RX7,41_ctl3_Ac_RN,3,Acropora cervicornis,Ctl,FLKeys,41_ctl3_Ac_RN_1.fastq.gz; 41_ctl3_Ac_RN_2.fastq.gz,987deb43fc2ac89b8db1c80ed6e43e21;965ccb3c96b23b14e846303232f9185d,
NA,NA,14004RX8,42_ctl3_Mc_MGR,3,Montastraea cavernosa,Ctl,FLKeys,42_ctl3_Mc_MGR_1.fastq.gz; 42_ctl3_Mc_MGR_2.fastq.gz,2c46f8567f33609548fba2070e03a9ef;3d1420f1d08963f35f99e75b28a1882f,
NA,NA,14004RX9,43_ctl3_Of_JVP,3,Obicella faveolata,Ctl,FLKeys,43_ctl3_Of_JVP_1.fastq.gz; 43_ctl3_Of_JVP_2.fastq.gz,0106b6f651377ccb5409d3d34b5d46aa;57d33353cdbb4c73bf7abc3712f749fb,
NA,NA,14004RX10,44_T4.1_Of_PVT,1,Obicella faveolata,T4,FLKeys,44_T4.1_Of_PVT_1.fastq.gz; 44_T4.1_Of_PVT_2.fastq.gz,78f83e2ce98b42065a4f6930ed25c9c6;d4474d43c57772064cbdef5184586857,
