Time,Sample.ID,Sample name: #1_T#_nn_#2_day# = RNA-extraction-nb_tank-nb_species_sample-nb_day-collected,Rep,Species,Treatment in mg/L of sediment,Time point in days,Location,File.Name.fastq
NA,NA,NA,NA,Porites lobata,NA,NA,HIMB,9_2.fastq.gz
Morning,11698X23,21_T4_Pl_35_day7,2,Porites lobata,40,7,HIMB,21_1.fastq.gz
Morning,11698X22,22_T7_Pl_26_day4,2,Porites lobata,400,4,HIMB,22_1.fastq.gz
Morning,11698X21,23_T5_Pl_34_day7,1,Porites lobata,400,7,HIMB,23_1.fastq.gz
Morning,11698X4,25_T8_Pl_28_day4,1,Porites lobata,0,4,HIMB,25_1.fastq.gz
NA,NA,NA,NA,Porites lobata,NA,NA,HIMB,25_2.fastq.gz
Morning,11698X6,26_T6_Pl_19_day4,2,Porites lobata,0,4,HIMB,26_1.fastq.gz
NA,NA,NA,NA,Porites lobata,NA,NA,HIMB,26_2.fastq.gz
Morning,11698X27,27_T3_Pl_21_day7,2,Porites lobata,400,7,HIMB,27_1.fastq.gz
Morning,11698X29,29_T9_Pl_30_day4,1,Porites lobata,40,4,HIMB,29_1.fastq.gz
Morning,11698X28,34_T4_Pl_34_day4,2,Porites lobata,40,4,HIMB,34_1.fastq.gz
NA,NA,5_T1_Mc_39_day7,NA,Montipora capitata,0,7,HIMB,5_1.fastq.gz
NA,NA,5_T1_Mc_39_day7,NA,Montipora capitata,0,7,HIMB,5_2.fastq.gz
NA,NA,10_T4_Mc_3_day4,NA,Montipora capitata,40,4,HIMB,10_2.fastq.gz
NA,NA,13_T6_Mc_2_day4,NA,Montipora capitata,0,4,HIMB,13_1.fastq.gz
NA,NA,13_T6_Mc_2_day4,NA,Montipora capitata,0,4,HIMB,13_2.fastq.gz
NA,NA,14_T6_Mc_15_day7,NA,Montipora capitata,0,7,HIMB,14_1.fastq.gz
NA,NA,14_T6_Mc_15_day7,NA,Montipora capitata,0,7,HIMB,14_2.fastq.gz
NA,NA,15_T2_Mc_37_day7,NA,Montipora capitata,40,7,HIMB,15_2.fastq.gz
NA,NA,16_T5_Mc_11_day7,NA,Montipora capitata,400,7,HIMB,16_2.fastq.gz
NA,NA,19_T4_Mc_14_day7,NA,Montipora capitata,40,7,HIMB,19_2.fastq.gz
NA,NA,20_T9_Mc_7_day4,NA,Montipora capitata,40,4,HIMB,20_2.fastq.gz
NA,NA,40_T7_Mc_10_day4,NA,Montipora capitata,400,4,HIMB,40_2.fastq.gz
NA,NA,45_T8_Mc_8_day4,NA,Montipora capitata,0,4,HIMB,45_1.fastq.gz
NA,NA,45_T8_Mc_8_day4,NA,Montipora capitata,0,4,HIMB,45_2.fastq.gz
NA,NA,48_T3_Mc_35_day7,NA,Montipora capitata,400,7,HIMB,48_2.fastq.gz
NA,NA,3_T6_Pc_8_day4,NA,Porites compressa,0,4,HIMB,3_1.fastq.gz
NA,NA,3_T6_Pc_8_day4,NA,Porites compressa,0,4,HIMB,3_2.fastq.gz
NA,NA,12_T3_Pc_15_day7,NA,Porites compressa,400,7,HIMB,12_1.fastq.gz
NA,NA,17_T7_Pc_27_day4,NA,Porites compressa,400,4,HIMB,17_1.fastq.gz
NA,NA,18_T9_Pc_30_day4,NA,Porites compressa,40,4,HIMB,18_1.fastq.gz
NA,NA,24_T4_Pc_10_day4,NA,Porites compressa,40,4,HIMB,24_1.fastq.gz
NA,NA,30_T4_Pc_24_day7,NA,Porites compressa,40,7,HIMB,30_1.fastq.gz
NA,NA,32_T1_Pc_14_day7,NA,Porites compressa,0,7,HIMB,32_1.fastq.gz
NA,NA,32_T1_Pc_14_day7,NA,Porites compressa,0,7,HIMB,32_2.fastq.gz
NA,NA,33_T5_Pc_6_day4,NA,Porites compressa,400,4,HIMB,33_1.fastq.gz
NA,NA,37_T6_Pc_23_day7,NA,Porites compressa,0,7,HIMB,37_1.fastq.gz
NA,NA,37_T6_Pc_23_day7,NA,Porites compressa,0,7,HIMB,37_2.fastq.gz
NA,NA,43_T8_Pc_28_day4,NA,Porites compressa,0,4,HIMB,43_1.fastq.gz
NA,NA,43_T8_Pc_28_day4,NA,Porites compressa,0,4,HIMB,43_2.fastq.gz
NA,NA,44_T2_Pc_12_day7,NA,Porites compressa,40,7,HIMB,44_1.fastq.gz
NA,NA,46_T5_Pc_22_day7,NA,Porites compressa,400,7,HIMB,46_1.fastq.gz
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
