"","Time","Sample.ID","Sample.name","Rep","Species","Treatment","Days","Location","SampleID"
"X6_1","Morning","11698X5",6,1,"Porites lobata","control","seven","HIMB","X6_1"
"X6_2",NA,NA,NA,NA,"Porites lobata","unknown","unknown","HIMB","X6_2"
"X7_1","Morning","11698X31",7,1,"Porites lobata","high","four","HIMB","X7_1"
"X8_1","Morning","11698X26",8,1,"Porites lobata","mid","seven","HIMB","X8_1"
"X9_1","Morning","11698X8",9,2,"Porites lobata","control","seven","HIMB","X9_1"
"X9_2",NA,NA,NA,NA,"Porites lobata","unknown","unknown","HIMB","X9_2"
"X21_1","Morning","11698X23",21,2,"Porites lobata","mid","seven","HIMB","X21_1"
"X22_1","Morning","11698X22",22,2,"Porites lobata","high","four","HIMB","X22_1"
"X23_1","Morning","11698X21",23,1,"Porites lobata","high","seven","HIMB","X23_1"
"X25_1","Morning","11698X4",25,1,"Porites lobata","control","four","HIMB","X25_1"
"X25_2",NA,NA,NA,NA,"Porites lobata","unknown","unknown","HIMB","X25_2"
"X26_1","Morning","11698X6",26,2,"Porites lobata","control","four","HIMB","X26_1"
"X26_2",NA,NA,NA,NA,"Porites lobata","unknown","unknown","HIMB","X26_2"
"X27_1","Morning","11698X27",27,2,"Porites lobata","high","seven","HIMB","X27_1"
"X29_1","Morning","11698X29",29,1,"Porites lobata","mid","four","HIMB","X29_1"
"X34_1","Morning","11698X28",34,2,"Porites lobata","mid","four","HIMB","X34_1"
