Time,Sample.ID,Sample name,Rep,Species,Treatment in mg/L of sediment,Time point in days,Location,File.Name.fastq
Morning,11698X23,21,2,Porites lobata,40,7,HIMB,21_1.fastq.gz
Morning,11698X22,22,2,Porites lobata,400,4,HIMB,22_1.fastq.gz
Morning,11698X21,23,1,Porites lobata,400,7,HIMB,23_1.fastq.gz
Morning,11698X4,25,1,Porites lobata,0,4,HIMB,25_1.fastq.gz
NA,NA,NA,NA,Porites lobata,unknown,unknown,HIMB,25_2.fastq.gz
Morning,11698X6,26,2,Porites lobata,0,4,HIMB,26_1.fastq.gz
NA,NA,NA,NA,Porites lobata,unknown,unknown,HIMB,26_2.fastq.gz
Morning,11698X27,27,2,Porites lobata,400,7,HIMB,27_1.fastq.gz
Morning,11698X29,29,1,Porites lobata,40,4,HIMB,29_1.fastq.gz
Morning,11698X28,34,2,Porites lobata,40,4,HIMB,34_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,3_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,3_2.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,12_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,17_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,18_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,24_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,30_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,32_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,32_2.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,33_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,37_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,37_2.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,43_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,43_2.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,44_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,46_1.fastq.gz
NA,NA,NA,NA,Porites compressa,unknown,unknown,HIMB,48_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,5_1.fastq.gz
