"","GO.IDs"
"924","GO:0001595"
"1031","GO:0001733"
"1089","GO:0001784"
"2469","GO:0003690"
"2502","GO:0003723"
"2648","GO:0003968"
"2754","GO:0004089"
"2827","GO:0004165"
"2949","GO:0004415"
"3053","GO:0004532"
"3469","GO:0005001"
"3501","GO:0005025"
"3604","GO:0005161"
"3741","GO:0005381"
"3811","GO:0005543"
"6166","GO:0008254"
"8479","GO:0010698"
"10022","GO:0016034"
"10229","GO:0016247"
"10236","GO:0016251"
"10330","GO:0016361"
"10786","GO:0016929"
"12792","GO:0019966"
"13817","GO:0030169"
"13874","GO:0030234"
"14014","GO:0030366"
"14153","GO:0030544"
"16358","GO:0032500"
"16414","GO:0032555"
"18864","GO:0034711"
"19235","GO:0035064"
"20478","GO:0042834"
"21101","GO:0043422"
"22281","GO:0045294"
"22305","GO:0045322"
"23590","GO:0046556"
"24029","GO:0046969"
"24516","GO:0047464"
"24536","GO:0047485"
"26428","GO:0050379"
"26542","GO:0050501"
"26734","GO:0050694"
"26740","GO:0050700"
"28026","GO:0051879"
"28566","GO:0052381"
"28681","GO:0052834"
"29770","GO:0062063"
"29900","GO:0070097"
"30286","GO:0070403"
"30861","GO:0071164"
"31413","GO:0089720"
"31461","GO:0097657"
"31480","GO:0098821"
"31549","GO:1990254"
