"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"4","GO:0005871",0.0281573801730486,0.999685490435944,1,5,"kinesin complex","CC"
"5","GO:0015935",0.0331068575411893,0.999546325078757,1,6,"small ribosomal subunit","CC"
