"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"LOC113666862",45.7377575820062,1.73322910701751,0.374102569070563,4.63303182152323,3.60349123509606e-06,0.00831565660685667,"MidvsHigh",32,13,40,40,84,28,26,18,53,41,70,74
"LOC113677377",585.618134093678,-1.16336278582392,0.236268126412674,-4.92390913445493,8.48322393800062e-07,0.00293646796613891,"MidvsHigh",413,509,476,370,296,785,1086,902,680,600,311,357
"LOC113674392",126.115390281951,3.06903422723219,0.65885702600055,4.6581186905786,3.19112219850746e-06,0.00831565660685667,"MidvsHigh",110,0,409,263,35,25,13,9,473,666,40,133
"LOC113665493",554.171172343597,0.808109217586491,0.192455921546089,4.19893142852956,2.68177508684422e-05,0.0464148223155564,"MidvsHigh",580,132,1257,959,425,449,277,328,1328,1344,545,368
"LOC113683602",90.4784007274768,-1.59152832895294,0.2805512066211,-5.67286217771427,1.40431208088672e-08,9.72205253597873e-05,"MidvsHigh",32,82,149,190,27,89,96,106,172,267,40,25
"LOC113673289",287.088857110961,6.01143937646238,0.382124310949157,15.7316328854623,9.18124742394904e-56,1.27123551831998e-51,"MidvsHigh",401,0,668,450,392,6,10,8,806,831,391,256
"LOC113682239",99.702454366975,3.23830440550004,0.74937099084884,4.32136344353535,1.55068009024972e-05,0.0306724521851394,"MidvsHigh",107,6,226,71,164,26,0,41,100,167,107,200
"LOC113667025",204.00609873099,-1.93301358005964,0.351309996937567,-5.50230166209351,3.74864831889316e-08,0.000173012615411316,"MidvsHigh",64,222,275,442,46,205,251,291,534,231,85,63
