gene_id,10_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,11_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,11_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,12_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,15_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,16_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,17_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,18_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,1_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,21_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,22_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,23_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,24_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,25_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,25_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,26_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,26_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,27_1_test_noGFF.Aligned.sortedByCoord.out.bam.merge.gtf,28_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,29_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,2_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,30_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,31_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,33_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,34_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,40_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,42_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,44_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,45_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,45_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,46_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,48_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,6_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,6_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,7_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,8_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,9_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,9_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
pdam_00015114,0,81,85,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,15,0,40,0,0,0,0,0,0,30,36,0,0,37,69,64,0,0,0,69,72,30,0,0,0,0,0,0,24,0,62,55,0,0,0,0,0,0,0,0
pdam_00025013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00015110,0,45,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,27,0,0,0,9,9,0,0,0,4,4,0,0,0,0,0,0,0,14,0,11,12,0,0,0,0,0,0,0,0
pdam_00015111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00015112,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,2,0,0,4,2,1,0,0,0,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pdam_00015113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00022941,0,169,165,0,0,2,0,0,0,0,0,0,1,151,1,3,1,0,0,0,0,0,0,0,134,0,137,0,0,0,0,0,0,155,111,0,0,158,404,394,0,0,0,305,288,151,0,0,0,0,0,0,76,3,314,312,0,2,0,0,0,0,0,0
pdam_00022940,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,5,5,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0
pdam_00022943,0,200,178,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,107,0,38,0,0,0,0,0,0,173,131,0,0,124,253,199,0,0,0,263,205,129,0,1,0,0,0,0,82,2,90,81,0,0,0,0,0,0,0,0
pdam_00022942,0,278,289,0,0,0,0,0,0,0,0,0,3,177,6,0,0,0,0,0,0,0,0,0,192,0,247,0,0,0,0,0,0,186,168,0,0,268,499,514,0,0,0,446,457,259,0,0,0,0,0,0,130,8,451,452,0,4,0,0,0,0,0,0
pdam_00022945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00022944,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
pdam_00019235,22,4,0,0,17,16,44,44,39,35,0,0,31,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,54,2,1,0,0,0,0,33,25,0,0,23,0,0,95,105,0,0,0,0,0,0
pdam_00019234,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0,0,0,0
pdam_00019237,0,585,577,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,258,0,98,0,0,0,0,0,0,409,354,0,0,273,674,685,0,0,0,736,741,320,0,0,0,0,0,0,202,0,585,571,0,0,0,0,0,0,4,0
pdam_00019236,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,6,6,3,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0
pdam_00019231,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0
pdam_00019230,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,7,0,0,0,9,7,4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0
