"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"LOC113666378",69.9157556859254,0.775601661536283,0.243156370299372,3.18972380029102,0.00142408826195209,0.0450180960616179,"CvsHigh",50,24,129,127,64,57,30,48,154,155,100,43
"LOC113665943",175.017032774591,-2.75600889451799,0.700312033266634,-3.93540131198729,8.30577896371914e-05,0.00491049311764026,"CvsHigh",109,127,48,20,394,430,27,109,102,51,173,173
"LOC113673559",238.6444715539,-0.753955044239294,0.177614275406305,-4.2449011630094,2.18689793294831e-05,0.00165463326664494,"CvsHigh",254,91,236,262,229,296,251,250,274,288,311,170
"LOC113675825",48.8285010536204,-0.875454995342453,0.25606347313974,-3.41889838721627,0.000628752015781382,0.0252339142333595,"CvsHigh",42,27,41,46,33,47,53,69,74,63,50,47
"LOC113680168",89.8782058263791,-2.60963615598852,0.571510175754113,-4.56621118345808,4.96618467947486e-06,0.000498273862840644,"CvsHigh",39,75,49,40,114,173,152,71,42,28,178,14
"LOC113670244",55.8701121557528,-2.62590925089054,0.560319587141123,-4.68644914643895,2.77985850964174e-06,0.000293816190263355,"CvsHigh",62,46,4,15,40,88,42,115,25,59,41,56
"LOC113687093",91.6580093735409,-1.57654358078182,0.253083818159998,-6.22933379243213,4.68422811525199e-10,1.40995266269085e-07,"CvsHigh",103,33,51,65,78,141,110,135,77,88,113,71
"LOC113664948",305.286189410929,-2.83902223183278,0.57953043597947,-4.89883197771057,9.64080408394838e-07,0.000119184440487812,"CvsHigh",198,400,34,256,115,291,894,425,240,81,189,90
"LOC113667295",41.4601681091815,-2.95451659316481,0.729210126162781,-4.05166698481265,5.08540121754886e-05,0.00317173266928746,"CvsHigh",48,11,4,6,52,128,23,54,6,39,25,48
"LOC113668658",76.1418190042501,-2.1841212607244,0.383501329429072,-5.69521170624351,1.23218928661215e-08,2.66576450975496e-06,"CvsHigh",87,78,22,62,46,126,91,59,36,48,99,59
"LOC113674693",189.953057921839,-2.19566547579698,0.598224852345999,-3.67030133767673,0.000242264697084251,0.0118112570275653,"CvsHigh",136,224,103,204,183,249,159,196,55,21,286,147
"LOC113684160",537.9460576109,-2.16531961338746,0.502682301493623,-4.30753103292801,1.65086939886564e-05,0.0013605915295651,"CvsHigh",246,448,496,272,710,829,729,442,106,246,613,518
"LOC113667613",248.141189326876,3.73806869507323,0.971851941263267,3.84633557475255,0.000119897526052512,0.00653583128237435,"CvsHigh",591,0,740,974,38,35,37,65,932,691,56,25
"LOC113672368",37.775928986123,-1.1256683566216,0.34750541467226,-3.23928292652142,0.00119830642005892,0.040271239544019,"CvsHigh",31,32,26,46,29,75,25,46,56,44,27,19
"LOC113673159",42.0105601899168,-0.922627324332917,0.270215085208556,-3.41441827209913,0.000639183666509279,0.0255047177132204,"CvsHigh",36,32,43,40,38,48,58,37,46,68,35,25
"LOC113677808",52.7047966426197,-1.36922263708103,0.414134671789673,-3.30622555982567,0.000945619324867298,0.0341854965329311,"CvsHigh",64,20,65,23,22,62,80,101,56,60,64,26
"LOC113680763",69.8824782423977,1.6563203553976,0.51595187973987,3.21022254290977,0.00132632243580982,0.0433119350146762,"CvsHigh",34,7,190,163,16,34,39,51,139,319,41,75
"LOC113676896",35.9635449514177,-2.28005120089446,0.614504206262452,-3.71039152809422,0.000206938951537306,0.0103814374021215,"CvsHigh",24,70,12,36,17,27,27,29,13,17,49,32
"LOC113685809",41.563762648775,-1.53425327192965,0.44179421777791,-3.47277807221306,0.000515101098704119,0.0217310109189669,"CvsHigh",53,26,12,15,23,54,43,42,33,64,74,37
"LOC113686485",155.065147667338,1.17233205855128,0.308530252285463,3.7997313063051,0.000144853056566482,0.00765509702755537,"CvsHigh",119,29,378,406,100,151,77,73,344,320,197,92
"LOC113686341",114.96338359213,-3.42081179947027,0.590733253121219,-5.7907892968543,7.00564177406396e-09,1.6440697627744e-06,"CvsHigh",82,224,28,16,40,124,164,66,68,26,178,82
"LOC113676603",278.99000360052,-1.01504853012268,0.295818725072696,-3.43131939965341,0.000600652930198682,0.0246054451820442,"CvsHigh",237,265,248,366,239,257,247,281,235,299,321,217
"LOC113664234",101.402457348211,0.817981761149699,0.174270010138368,4.69376090871995,2.68227507857454e-06,0.000285682928753409,"CvsHigh",73,30,215,208,74,79,75,67,238,250,108,56
"LOC113676627",301.156574478553,-0.764627228066812,0.237241924828447,-3.22298526544043,0.0012686207932092,0.0420389249227254,"CvsHigh",239,275,369,296,254,317,307,305,472,440,267,149
"LOC113684585",19.125907512901,-1.22971890588553,0.30332604860683,-4.05411573299952,5.03242989237081e-05,0.00315289702668625,"CvsHigh",18,16,17,18,11,21,25,28,20,26,16,11
"LOC113664685",966.370417865258,-1.33488519263999,0.42424059964196,-3.14652862966575,0.00165221085226483,0.0496355027407653,"CvsHigh",840,758,533,1578,867,1232,1099,819,549,525,1128,873
"LOC113671094",194.645101629019,-1.71282043170967,0.353308862172748,-4.8479407540935,1.24749642438263e-06,0.000151516100807034,"CvsHigh",233,157,87,113,166,115,274,284,133,226,228,141
"LOC113682653",265.171446500222,0.894697870400115,0.235959562424202,3.79174236978644,0.000149594056919204,0.00784575497008824,"CvsHigh",262,50,559,533,193,227,144,192,523,627,298,180
"LOC113664667",49.9062820528224,-1.18227377252576,0.338543631412439,-3.49223456838693,0.000478997400257261,0.0206813597536648,"CvsHigh",68,40,50,50,42,50,45,42,36,30,48,52
"LOC113672399",39.7914511828995,-1.13080027389517,0.273802827297435,-4.12998026739428,3.62794371839791e-05,0.00243609735778959,"CvsHigh",44,17,35,30,36,57,35,40,41,33,44,47
