"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"LOC113665943",175.017032774591,-3.19371236592565,0.699695294414915,-4.56443310597971,5.00845864350158e-06,0.00057311668080928,"CvsMid",109,127,48,20,394,430,27,109,102,51,173,173
"LOC113673559",238.6444715539,-0.975509501908613,0.176614488265129,-5.52338322575327,3.32533331867316e-08,6.77689544046218e-06,"CvsMid",254,91,236,262,229,296,251,250,274,288,311,170
"LOC113680168",89.8782058263791,-2.12895140221134,0.573119692029492,-3.71467152816272,0.000203467816866455,0.0130666234606465,"CvsMid",39,75,49,40,114,173,152,71,42,28,178,14
"LOC113670244",55.8701121557528,-2.18977964095209,0.562709023434832,-3.89149551500963,9.96282311469298e-05,0.00726027625505469,"CvsMid",62,46,4,15,40,88,42,115,25,59,41,56
"LOC113664618",243.563508020609,0.925200427679479,0.282984457831405,3.26943901714451,0.00107760962940115,0.0482866761446225,"CvsMid",107,133,461,457,66,287,340,210,450,607,159,142
"LOC113687093",91.6580093735409,-1.50719097622957,0.253694702395345,-5.94096353608851,2.83351642568283e-09,8.34741881489457e-07,"CvsMid",103,33,51,65,78,141,110,135,77,88,113,71
"LOC113667295",41.4601681091815,-2.92808452744941,0.729329516320828,-4.01476213690131,5.95057755810152e-05,0.00473515499249848,"CvsMid",48,11,4,6,52,128,23,54,6,39,25,48
"LOC113668658",76.1418190042501,-1.88033962490142,0.385331412490848,-4.87979843830169,1.06194315785322e-06,0.00014661310163842,"CvsMid",87,78,22,62,46,126,91,59,36,48,99,59
"LOC113673942",121.825884930526,3.8139611933623,0.944201081968218,4.0393527037821,5.35989151037685e-05,0.00440773526417776,"CvsMid",14,80,265,361,8,0,165,26,570,583,11,21
"LOC113674693",189.953057921839,-1.98053401473389,0.598545238595579,-3.30891282233068,0.000936589951597976,0.0433713192970755,"CvsMid",136,224,103,204,183,249,159,196,55,21,286,147
"LOC113684160",537.9460576109,-2.01212655768967,0.502775962539131,-4.00203412177459,6.28002390628816e-05,0.0049405233526401,"CvsMid",246,448,496,272,710,829,729,442,106,246,613,518
"LOC113683630",55.7228662790383,-1.50507361516175,0.406639947578501,-3.7012438746471,0.000214545148433859,0.0135643476037224,"CvsMid",44,17,65,19,52,60,79,67,60,42,67,71
