"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"LOC113666378",50,24,129,127,64,57,30,48,154,155,100,43
"LOC113665943",109,127,48,20,394,430,27,109,102,51,173,173
"LOC113673559",254,91,236,262,229,296,251,250,274,288,311,170
"LOC113675825",42,27,41,46,33,47,53,69,74,63,50,47
"LOC113680168",39,75,49,40,114,173,152,71,42,28,178,14
"LOC113670244",62,46,4,15,40,88,42,115,25,59,41,56
"LOC113664618",107,133,461,457,66,287,340,210,450,607,159,142
"LOC113687093",103,33,51,65,78,141,110,135,77,88,113,71
"LOC113664948",198,400,34,256,115,291,894,425,240,81,189,90
"LOC113667295",48,11,4,6,52,128,23,54,6,39,25,48
"LOC113668658",87,78,22,62,46,126,91,59,36,48,99,59
"LOC113673942",14,80,265,361,8,0,165,26,570,583,11,21
"LOC113674693",136,224,103,204,183,249,159,196,55,21,286,147
"LOC113684160",246,448,496,272,710,829,729,442,106,246,613,518
"LOC113667613",591,0,740,974,38,35,37,65,932,691,56,25
"LOC113672368",31,32,26,46,29,75,25,46,56,44,27,19
"LOC113673159",36,32,43,40,38,48,58,37,46,68,35,25
"LOC113677808",64,20,65,23,22,62,80,101,56,60,64,26
"LOC113680763",34,7,190,163,16,34,39,51,139,319,41,75
"LOC113676896",24,70,12,36,17,27,27,29,13,17,49,32
"LOC113683630",44,17,65,19,52,60,79,67,60,42,67,71
"LOC113685809",53,26,12,15,23,54,43,42,33,64,74,37
"LOC113666862",32,13,40,40,84,28,26,18,53,41,70,74
"LOC113686485",119,29,378,406,100,151,77,73,344,320,197,92
"LOC113686341",82,224,28,16,40,124,164,66,68,26,178,82
"LOC113676603",237,265,248,366,239,257,247,281,235,299,321,217
"LOC113664234",73,30,215,208,74,79,75,67,238,250,108,56
"LOC113676627",239,275,369,296,254,317,307,305,472,440,267,149
"LOC113684585",18,16,17,18,11,21,25,28,20,26,16,11
"LOC113664685",840,758,533,1578,867,1232,1099,819,549,525,1128,873
"LOC113671094",233,157,87,113,166,115,274,284,133,226,228,141
"LOC113682653",262,50,559,533,193,227,144,192,523,627,298,180
"LOC113664667",68,40,50,50,42,50,45,42,36,30,48,52
"LOC113672399",44,17,35,30,36,57,35,40,41,33,44,47
"LOC113672232",377,233,665,559,476,508,456,445,334,536,511,548
"LOC113668150",974,1112,59,214,355,842,796,930,197,381,1090,328
"LOC113666192",26,44,125,361,20,20,44,7,217,178,24,11
"LOC113685915",156,67,12,11,86,122,126,171,15,12,181,5
"LOC113678385",101,106,71,17,41,84,71,73,75,42,82,65
"LOC113680964",125,75,364,368,102,119,107,160,428,431,216,113
"LOC113670157",20,13,580,526,17,292,83,0,393,485,27,7
"LOC113682844",11727,2217,30667,24277,4501,10755,1280,4269,48004,54398,15285,5240
"LOC113672755",43,17,16,27,107,33,100,14,35,50,64,31
"LOC113685434",52,27,50,45,64,66,54,46,46,36,57,34
"LOC113675963",51,13,42,22,48,72,31,49,40,50,39,39
"LOC113670459",76,25,354,499,57,165,113,98,510,653,127,70
"LOC113670541",153,191,160,151,117,204,137,163,119,183,188,106
