"","GO.IDs"
"1006","GO:0001729"
"1169","GO:0001872"
"1331","GO:0002020"
"2407","GO:0003674"
"2431","GO:0003700"
"2540","GO:0003884"
"2798","GO:0004305"
"2800","GO:0004307"
"3018","GO:0004563"
"3025","GO:0004571"
"3115","GO:0004672"
"3129","GO:0004673"
"3168","GO:0004713"
"3438","GO:0005003"
"3444","GO:0005004"
"3446","GO:0005005"
"3530","GO:0005112"
"3713","GO:0005372"
"3731","GO:0005452"
"3771","GO:0005524"
"3797","GO:0005537"
"5968","GO:0008046"
"6180","GO:0008297"
"6331","GO:0008467"
"6792","GO:0009019"
"9165","GO:0015106"
"9277","GO:0015226"
"9300","GO:0015252"
"9427","GO:0015431"
"9429","GO:0015432"
"10489","GO:0016647"
"10594","GO:0016780"
"10686","GO:0016890"
"12045","GO:0019215"
"13859","GO:0030291"
"13907","GO:0030332"
"14145","GO:0030628"
"14783","GO:0031208"
"19239","GO:0035173"
"20374","GO:0042887"
"20627","GO:0043139"
"23566","GO:0046715"
"24561","GO:0047710"
"27278","GO:0051434"
"27631","GO:0051724"
"30585","GO:0071933"
"31123","GO:0097161"
"31124","GO:0097371"
"31153","GO:1902945"
"31179","GO:1990935"
