"","GO.IDs"
"250","GO:0000245"
"507","GO:0000578"
"543","GO:0000717"
"942","GO:0001654"
"1049","GO:0001771"
"1059","GO:0001779"
"1117","GO:0001831"
"1176","GO:0001879"
"1178","GO:0001881"
"2082","GO:0002762"
"2406","GO:0003197"
"4409","GO:0006183"
"4449","GO:0006228"
"4462","GO:0006241"
"4479","GO:0006264"
"4506","GO:0006283"
"4556","GO:0006312"
"4580","GO:0006346"
"4601","GO:0006362"
"4712","GO:0006468"
"4732","GO:0006477"
"4744","GO:0006491"
"4894","GO:0006646"
"5241","GO:0007010"
"5250","GO:0007017"
"5286","GO:0007052"
"5304","GO:0007059"
"5446","GO:0007169"
"5524","GO:0007229"
"5638","GO:0007344"
"5684","GO:0007387"
"5685","GO:0007388"
"5789","GO:0007493"
"5799","GO:0007500"
"5806","GO:0007506"
"5810","GO:0007509"
"5824","GO:0007523"
"5827","GO:0007525"
"5893","GO:0007596"
"5897","GO:0007599"
"5961","GO:0008037"
"6240","GO:0008360"
"7407","GO:0009723"
"7638","GO:0009949"
"7686","GO:0010002"
"7771","GO:0010085"
"8155","GO:0010454"
"8156","GO:0010455"
"8563","GO:0010801"
"8588","GO:0010820"
"8755","GO:0010971"
"8845","GO:0014033"
"8851","GO:0014036"
"8854","GO:0014038"
"8932","GO:0014719"
"9637","GO:0015701"
"10320","GO:0016477"
"10446","GO:0016601"
"10871","GO:0017145"
"11011","GO:0018105"
"11014","GO:0018106"
"11888","GO:0019050"
"12293","GO:0019478"
"12455","GO:0019646"
"12805","GO:0021516"
"12836","GO:0021545"
"12922","GO:0021631"
"13327","GO:0021952"
"13399","GO:0021999"
"13581","GO:0030003"
"13603","GO:0030032"
"13894","GO:0030324"
"14020","GO:0030488"
"14037","GO:0030510"
"14610","GO:0031056"
"15021","GO:0031400"
"15302","GO:0031643"
"16012","GO:0032289"
"17457","GO:0033567"
"17578","GO:0033683"
"19068","GO:0035024"
"19086","GO:0035041"
"19092","GO:0035046"
"19106","GO:0035063"
"19127","GO:0035076"
"19150","GO:0035092"
"19232","GO:0035169"
"19234","GO:0035170"
"19355","GO:0035282"
"19401","GO:0036018"
"19405","GO:0036466"
"19407","GO:0036509"
"19409","GO:0038061"
"19422","GO:0040011"
"19426","GO:0040012"
"19431","GO:0040016"
"19496","GO:0042044"
"19515","GO:0042065"
"19564","GO:0042117"
"20019","GO:0042542"
"20149","GO:0042670"
"20233","GO:0042752"
"20395","GO:0042908"
"20622","GO:0043137"
"20646","GO:0043149"
"20754","GO:0043249"
"20889","GO:0043388"
"20916","GO:0043408"
"20979","GO:0043467"
"21018","GO:0043504"
"21722","GO:0044335"
"21723","GO:0044346"
"21791","GO:0044826"
"21792","GO:0045002"
"22118","GO:0045315"
"22425","GO:0045618"
"22600","GO:0045792"
"22772","GO:0045944"
"22785","GO:0045951"
"23002","GO:0046130"
"23253","GO:0046415"
"23254","GO:0046416"
"23385","GO:0046552"
"23491","GO:0046651"
"23564","GO:0046713"
"23764","GO:0046902"
"25372","GO:0048561"
"25380","GO:0048568"
"25437","GO:0048626"
"26909","GO:0051089"
"27051","GO:0051225"
"27538","GO:0051638"
"27540","GO:0051639"
"27611","GO:0051707"
"27785","GO:0051881"
"28514","GO:0055067"
"28642","GO:0060061"
"28824","GO:0060218"
"29117","GO:0060480"
"29244","GO:0060576"
"29500","GO:0060788"
"29501","GO:0060996"
"29504","GO:0061317"
"29505","GO:0061320"
"29507","GO:0062009"
"30137","GO:0070487"
"30544","GO:0070901"
"30575","GO:0071312"
"30577","GO:0071476"
"30578","GO:0071630"
"30579","GO:0071716"
"30583","GO:0071900"
"30586","GO:0072234"
"30587","GO:0072673"
"30940","GO:0075713"
"31117","GO:0090100"
"31118","GO:0090166"
"31122","GO:0097155"
"31126","GO:0098885"
"31129","GO:0110122"
"31131","GO:0140115"
"31133","GO:0150013"
"31135","GO:0198738"
"31137","GO:1900118"
"31139","GO:1900452"
"31141","GO:1901564"
"31145","GO:1901888"
"31147","GO:1902230"
"31149","GO:1902603"
"31150","GO:1902723"
"31151","GO:1902725"
"31152","GO:1902745"
"31155","GO:1902990"
"31157","GO:1903077"
"31159","GO:1903748"
"31160","GO:1903977"
"31162","GO:1904382"
"31164","GO:1904579"
"31166","GO:1904743"
"31167","GO:1905218"
"31169","GO:1905259"
"31170","GO:1905448"
"31171","GO:1905709"
"31173","GO:1990549"
"31175","GO:1990646"
"31181","GO:2000044"
"31182","GO:2000047"
"31183","GO:2000146"
"31184","GO:2000299"
"31186","GO:2000302"
"31188","GO:2000601"
"31189","GO:2000739"
"31190","GO:2000809"
"31192","GO:2000811"
"31194","GO:2000813"
"31195","GO:2001107"
"31197","GO:2001108"
"31198","GO:2001171"
