Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
10_2	36.9847382621	50.0	17806280.0	18.1818181818	44.0
11_1	41.2386385358	125.0	12258611.0	18.1818181818	42.0
11_2	42.023776894	125.0	12258611.0	18.1818181818	42.0
12_1	32.8467618905	50.0	12354189.0	18.1818181818	42.0
13_1	35.5511029712	125.0	14284182.0	18.1818181818	45.0
13_2	37.0442051141	125.0	14284182.0	18.1818181818	45.0
14_1	40.9090487456	125.0	18102274.0	18.1818181818	45.0
14_2	41.8489666233	125.0	18102274.0	18.1818181818	45.0
15_2	30.7040275208	50.0	12115903.0	18.1818181818	45.0
16_2	35.1005020456	50.0	17704490.0	18.1818181818	45.0
17_1	38.4497535156	50.0	17930938.0	18.1818181818	44.0
18_1	42.1936276045	50.0	12874864.0	18.1818181818	45.0
19_2	36.3916096245	50.0	14400097.0	18.1818181818	44.0
1_2	41.9417248441	50.0	13929799.0	18.1818181818	41.0
20_2	30.0931381269	50.0	15022895.0	18.1818181818	44.0
21_1	36.3386254952	50.0	12899588.0	18.1818181818	44.0
22_1	46.7973246422	50.0	13715480.0	9.09090909091	45.0
23_1	45.8420524136	50.0	16130649.0	18.1818181818	46.0
24_1	37.5509816698	50.0	16625156.0	18.1818181818	45.0
25_1	52.0732137144	125.0	14722760.0	27.2727272727	46.0
25_2	52.9527363601	125.0	14722760.0	27.2727272727	46.0
26_1	55.0783751497	125.0	13802810.0	27.2727272727	46.0
26_2	54.7328621815	125.0	13802810.0	18.1818181818	45.0
27_1	44.1767867202	50.0	11642275.0	18.1818181818	45.0
28_2	40.9757315807	50.0	13471856.0	18.1818181818	41.0
29_1	58.0457662406	50.0	19098591.0	18.1818181818	47.0
2_2	33.3699687718	50.0	11635325.0	18.1818181818	45.0
30_1	30.9633520412	50.0	13674701.0	18.1818181818	45.0
31_2	1.74494455316	50.0	6132.0	18.1818181818	43.0
32_1	45.3571365176	125.0	14725007.0	18.1818181818	42.0
32_2	46.9357962652	125.0	14725007.0	18.1818181818	42.0
33_1	46.4835759832	50.0	11790490.0	18.1818181818	45.0
34_1	49.4483560682	50.0	11422477.0	18.1818181818	47.0
35_2	46.3346211547	50.0	18193298.0	18.1818181818	41.0
36_2	40.5663132009	50.0	16274979.0	18.1818181818	42.0
37_1	34.3416501428	125.0	16853037.0	18.1818181818	45.0
37_2	35.0367764353	125.0	16853037.0	18.1818181818	45.0
38_2	40.2805925675	50.0	15506141.0	18.1818181818	42.0
39_1	44.6724876568	125.0	14861455.0	18.1818181818	42.0
39_2	43.1396837085	125.0	14861455.0	18.1818181818	42.0
3_1	43.3308183594	125.0	12630209.0	18.1818181818	45.0
3_2	43.8837533638	125.0	12630209.0	18.1818181818	45.0
40_2	36.6322093065	50.0	21145196.0	18.1818181818	46.0
41_1	43.4173335513	125.0	14403072.0	18.1818181818	42.0
41_2	42.5801571426	125.0	14403072.0	18.1818181818	43.0
42_2	43.261008854	50.0	18099916.0	18.1818181818	43.0
43_1	36.0754413613	125.0	13650433.0	18.1818181818	44.0
43_2	37.6513868476	125.0	13650433.0	18.1818181818	44.0
44_1	36.3636135474	50.0	12270931.0	18.1818181818	43.0
45_1	38.6681453955	125.0	11551954.0	18.1818181818	44.0
45_2	39.5334723308	125.0	11551954.0	18.1818181818	44.0
46_1	29.8426045288	50.0	11392581.0	18.1818181818	44.0
47_2	38.7186122791	50.0	11361956.0	18.1818181818	42.0
48_2	38.6461565332	50.0	20572421.0	18.1818181818	45.0
4_1	39.7279611246	125.0	13298701.0	18.1818181818	42.0
4_2	39.5295642833	125.0	13298701.0	18.1818181818	43.0
5_1	39.6696674929	125.0	17261678.0	18.1818181818	44.0
5_2	39.5735905199	125.0	17261678.0	18.1818181818	44.0
6_1	42.6347718847	125.0	17035406.0	27.2727272727	44.0
6_2	43.3675121006	125.0	17035406.0	18.1818181818	44.0
7_1	32.1906296543	50.0	11892957.0	18.1818181818	45.0
8_1	51.2951639376	50.0	13559751.0	27.2727272727	46.0
9_1	67.6078904373	125.0	12021968.0	27.2727272727	48.0
9_2	67.4667460507	125.0	12021968.0	27.2727272727	48.0
